train_idx,train_type,original_price,optimized_price,difference,predicted_demand,real_demand,capacity
00001_13-08-2025-06.12,AVLO,33.97,83.97,50.0,1618.9775786777518,581.0,581
00002_13-08-2025-06.22,IRYO,37.5,37.5,0.0,1619.2291290648197,461.0,461
00003_13-08-2025-06.27,AVE,39.92,89.92,50.0,3055.5481672326264,359.0,359
00004_13-08-2025-06.57,AVE,112.01,160.0,47.989999999999995,1796.1516087973037,414.0,414
00005_13-08-2025-07.02,OUIGO,31.79,31.79,0.0,406.90158864409113,406.9015886440832,509
00002_13-08-2025-07.22,IRYO,27.22,27.22,0.0,1174.612179658609,461.0,461
00006_13-08-2025-07.27,AVE,29.92,79.92,50.0,1750.7290459265093,414.0,414
00004_13-08-2025-07.57,AVE,52.49,102.49000000000001,50.00000000000001,1722.8168247506467,414.0,414
00007_13-08-2025-08.27,AVE,80.85,130.85,50.0,1749.5055330182367,414.0,414
00002_13-08-2025-08.32,IRYO,30.29,30.29,0.0,620.7833303828298,461.0,461
00008_13-08-2025-08.57,AVE,41.06,91.06,50.0,1478.5016215798591,414.0,414
00009_13-08-2025-09.22,IRYO,31.03,31.03,0.0,256.58861988723464,256.58861988723464,461
00010_13-08-2025-09.27,AVE,61.17,111.16999999999999,49.999999999999986,1066.4471925146756,414.0,414
00009_13-08-2025-09.57,IRYO,28.87,28.87,0.0,530.6406750262323,461.0,461
00011_13-08-2025-10.02,OUIGO,25.14,25.14,0.0,401.5120272844924,401.5120272844835,509
00012_13-08-2025-10.27,AVLO,47.25,97.25,50.0,581.0,581.0,581
00009_13-08-2025-11.22,IRYO,15.91,15.91,0.0,2796.1105965990137,461.0,461
00006_13-08-2025-11.27,AVE,56.42,106.42,50.0,1410.5622154405921,826.0,826
00009_13-08-2025-12.22,IRYO,39.75,39.75,0.0,385.830416793499,385.8304167934765,461
00013_13-08-2025-12.27,AVE,64.39,114.39,50.0,2123.6529042229204,378.0,378
00004_13-08-2025-12.57,AVE,54.2,104.2,50.0,2320.892726117832,414.0,414
00014_13-08-2025-13.18,AVE,48.24,98.24,49.99999999999999,2387.476874286555,339.0,339
00009_13-08-2025-14.02,IRYO,31.97,31.97,0.0,653.8178908244727,461.0,461
00015_13-08-2025-14.12,OUIGO,37.46,37.46,0.0,277.9131631382233,277.9131631382233,509
00016_13-08-2025-14.27,AVE,36.5,86.5,50.0,1778.136539013394,291.0,291
00017_13-08-2025-14.42,IRYO,39.14,39.14,0.0,357.1515099196043,357.1515099195868,461
00004_13-08-2025-14.57,AVE,46.11,96.11,50.0,2709.8266377820055,414.0,414
00018_13-08-2025-15.27,AVLO,39.65,89.65,50.00000000000001,1124.5032001222837,571.0,571
00004_13-08-2025-15.57,AVE,62.51,112.50999999999999,49.99999999999999,2902.260984703332,414.0,414
00007_13-08-2025-16.27,AVE,68.24,118.24,50.0,3455.3909283293883,414.0,414
00002_13-08-2025-16.37,IRYO,45.39,45.39,0.0,791.6368434995919,461.0,461
00004_13-08-2025-16.57,AVE,129.39,160.0,30.610000000000014,2854.153337382196,414.0,414
00015_13-08-2025-17.17,OUIGO,29.27,29.27,0.0,735.3488109029175,509.0,509
00009_13-08-2025-17.22,IRYO,52.47,52.47,0.0,267.4796545470823,267.4796545470823,461
00006_13-08-2025-17.27,AVE,53.59,103.59,50.0,1877.3113392208106,414.0,414
00004_13-08-2025-17.57,AVE,67.64,117.64,50.0,2452.517222762225,414.0,414
00016_13-08-2025-18.27,AVE,65.15,115.15,50.0,2602.26658219626,414.0,414
00002_13-08-2025-18.32,IRYO,40.93,40.93,0.0,571.2505865794307,461.0,461
00004_13-08-2025-18.57,AVE,98.53,148.53,50.0,1870.6088284885332,414.0,414
00009_13-08-2025-19.29,IRYO,37.03,37.03,0.0,312.2392895054642,312.2392895054642,461
00019_13-08-2025-19.34,AVLO,30.29,80.28999999999999,49.99999999999999,595.6670745097948,581.0,581
00004_13-08-2025-20.05,AVE,45.99,95.99,49.99999999999999,1753.7337616281052,414.0,414
00009_13-08-2025-20.22,IRYO,46.53,46.53,0.0,188.46444326364076,188.46444326364076,461
00020_13-08-2025-20.27,AVE,60.35,110.35,49.99999999999999,550.663396684924,414.0,414
00005_13-08-2025-21.02,OUIGO,39.22,39.22,0.0,-20.33618804382751,0.0,509
00007_13-08-2025-21.07,AVE,46.7,24.61842156337389,-22.081578436626113,861.1436540717416,414.0,414
