train_idx,train_type,original_price,optimized_price,difference,predicted_demand,actual_demand,capacity
00001_13-08-2025-06.12,AVLO,33.97,42.603247451791546,8.633247451791547,843.2753437010786,581.0,581
00002_13-08-2025-06.22,IRYO,37.5,37.5,0.0,840.7337339500523,461.0,461
00003_13-08-2025-06.27,AVE,39.92,54.55055434637198,14.63055434637198,359.0,359.0,359
00004_13-08-2025-06.57,AVE,112.01,132.01,19.999999999999986,-3.891940710262126,0.0,414
00005_13-08-2025-07.02,OUIGO,31.79,31.79,0.0,142.49530550139588,142.49530550139315,509
00002_13-08-2025-07.22,IRYO,27.22,27.22,0.0,790.3297427468784,461.0,461
00006_13-08-2025-07.27,AVE,29.92,49.92,20.0,95.82435295225972,95.82435295224697,414
00004_13-08-2025-07.57,AVE,52.49,57.849214642634266,5.359214642634264,87.90045408196505,87.9004540819721,414
00007_13-08-2025-08.27,AVE,80.85,60.85,-19.999999999999993,23.5322303287871,23.53223032879665,414
00002_13-08-2025-08.32,IRYO,30.29,30.29,0.0,203.85556943954165,203.85556943955234,461
00008_13-08-2025-08.57,AVE,41.06,28.73148237900261,-12.328517620997392,708.0383512838952,414.0,414
00009_13-08-2025-09.22,IRYO,31.03,31.03,0.0,110.53530074819412,110.53530074819412,461
00010_13-08-2025-09.27,AVE,61.17,49.687489119404525,-11.482510880595477,80.49402233579562,80.49402233580517,414
00009_13-08-2025-09.57,IRYO,28.87,28.87,0.0,227.16165915182597,227.16165915181347,461
00011_13-08-2025-10.02,OUIGO,25.14,25.14,0.0,128.34123908532766,128.34123908532538,509
00012_13-08-2025-10.27,AVLO,47.25,27.25,-20.0,344.19695262431264,344.1969526242931,581
00009_13-08-2025-11.22,IRYO,15.91,15.91,0.0,870.986429603006,461.0,461
00006_13-08-2025-11.27,AVE,56.42,54.22779315964104,-2.1922068403589634,121.53535115290127,121.53535115289809,826
00009_13-08-2025-12.22,IRYO,39.75,39.75,0.0,121.33597535971434,121.33597535971167,461
00013_13-08-2025-12.27,AVE,64.39,71.37890382656798,6.988903826567977,19.914694041961205,19.914694041970755,378
00004_13-08-2025-12.57,AVE,54.2,71.4563075394682,17.256307539468196,39.66125972833389,39.661259728321156,414
00014_13-08-2025-13.18,AVE,48.24,53.84897489003334,5.608974890033338,55.44597586411655,55.44597586413564,339
00009_13-08-2025-14.02,IRYO,31.97,31.97,0.0,217.46254558541406,217.46254558541122,461
00015_13-08-2025-14.12,OUIGO,37.46,37.46,0.0,40.864390740481475,40.864390740481475,509
00016_13-08-2025-14.27,AVE,36.5,39.96681629659676,3.466816296596761,333.28241248206336,291.0,291
00017_13-08-2025-14.42,IRYO,39.14,39.14,0.0,66.5731239486393,66.57312394863658,461
00004_13-08-2025-14.57,AVE,46.11,29.983599279933046,-16.126400720066954,972.5248766958762,414.0,414
00018_13-08-2025-15.27,AVLO,39.65,46.50481051034201,6.854810510342013,55.838498258985396,55.83849825896281,571
00004_13-08-2025-15.57,AVE,62.51,82.50999999999999,19.999999999999993,50.80816449128162,50.80816449128782,414
00007_13-08-2025-16.27,AVE,68.24,87.01303227216361,18.77303227216362,39.97524589839044,39.97524589839633,414
00002_13-08-2025-16.37,IRYO,45.39,45.39,0.0,516.0436519141384,461.0,461
00004_13-08-2025-16.57,AVE,129.39,133.7021822526024,4.312182252602412,0.0,0.0,414
00015_13-08-2025-17.17,OUIGO,29.27,29.27,0.0,625.0101082613246,509.0,509
00009_13-08-2025-17.22,IRYO,52.47,52.47,0.0,85.1225912750437,85.12259127504097,461
00006_13-08-2025-17.27,AVE,53.59,70.55235482510152,16.962354825101514,28.871752542108755,28.87175254211512,414
00004_13-08-2025-17.57,AVE,67.64,59.56925557624295,-8.070744423757048,369.72506876206523,369.7250687620717,414
00016_13-08-2025-18.27,AVE,65.15,68.45538823055591,3.3053882305559057,45.7081872886524,45.708187288671496,414
00002_13-08-2025-18.32,IRYO,40.93,40.93,0.0,120.4295600967415,120.42956009673877,461
00004_13-08-2025-18.57,AVE,98.53,107.95475522782358,9.424755227823582,0.0,0.0,414
00009_13-08-2025-19.29,IRYO,37.03,37.03,0.0,34.413498758181255,34.41349875817853,461
00019_13-08-2025-19.34,AVLO,30.29,28.237106533797323,-2.0528934662026757,40.587382124583414,40.587382124544305,581
00004_13-08-2025-20.05,AVE,45.99,25.990000000000002,-20.0,696.4460316862721,414.0,414
00009_13-08-2025-20.22,IRYO,46.53,46.53,0.0,5.368776252664683,5.3687762526615,461
00020_13-08-2025-20.27,AVE,60.35,40.35,-20.0,12.961478898472219,12.961478898482678,414
00005_13-08-2025-21.02,OUIGO,39.22,39.22,0.0,6.32341617328337,6.323416173280641,509
00007_13-08-2025-21.07,AVE,46.7,56.19741366740062,9.497413667400615,6.73064454108754,6.73064454109709,414
