train_idx,train_type,original_price,optimized_price,difference,predicted_demand,actual_demand,capacity
00001_13-08-2025-06.12,AVLO,35.15,44.96500015522012,9.815000155220119,582.4764486727846,581.0,581
00002_13-08-2025-06.22,IRYO,44.13,44.13,0.0,465.08280759242473,461.0,461
00003_13-08-2025-06.27,AVE,43.61,53.61,10.0,373.2462459282045,359.0,359
00004_13-08-2025-06.57,AVE,85.23,95.23,10.0,406.02369852266554,406.0236985226652,414
00005_13-08-2025-07.02,OUIGO,35.61,35.61,0.0,520.87037191422,509.0,509
00002_13-08-2025-07.22,IRYO,35.34,35.34,0.0,466.989252819025,461.0,461
00006_13-08-2025-07.27,AVE,40.74,50.74,10.0,437.8841950406887,414.0,414
00004_13-08-2025-07.57,AVE,77.55,86.42500014619262,8.875000146192619,404.2820548739963,404.2820548739963,414
00007_13-08-2025-08.27,AVE,73.27,82.1949999775049,8.92499997750491,414.4078765170136,414.0,414
00002_13-08-2025-08.32,IRYO,56.48,56.48,0.0,434.6145539591537,434.6145539591537,461
00008_13-08-2025-08.57,AVE,59.25,67.53000033724065,8.28000033724065,401.6565356281776,401.6565356281776,414
00009_13-08-2025-09.22,IRYO,42.15,42.15,0.0,454.4653435920231,454.4653435920231,461
00010_13-08-2025-09.27,AVE,69.59,60.564999882063276,-9.025000117936727,214.7318055359322,214.7318055359322,414
00009_13-08-2025-09.57,IRYO,34.92,34.92,0.0,461.35917491804724,461.0,461
00011_13-08-2025-10.02,OUIGO,52.51,52.51,0.0,265.0974999748643,265.0974999748643,509
00012_13-08-2025-10.27,AVLO,45.74,55.74,10.0,27.457454000725495,27.45745400072885,581
00009_13-08-2025-11.22,IRYO,38.27,38.27,0.0,467.8481252514242,461.0,461
00006_13-08-2025-11.27,AVE,47.11,37.91499989172044,-9.195000108279558,696.9231218670759,696.9231218670759,826
00009_13-08-2025-12.22,IRYO,33.02,33.02,0.0,482.77568381288273,461.0,461
00013_13-08-2025-12.27,AVE,65.09,57.42500005563755,-7.664999944362457,94.44874778489036,94.44874778489036,378
00004_13-08-2025-12.57,AVE,62.95,72.95,10.0,130.6199024666766,130.6199024666766,414
00014_13-08-2025-13.18,AVE,48.24,47.63499990162827,-0.6050000983717325,333.78344665394,333.78344665394,339
00009_13-08-2025-14.02,IRYO,21.28,21.28,0.0,474.1025137999749,461.0,461
00015_13-08-2025-14.12,OUIGO,39.17,39.17,0.0,506.7652906057287,506.7652906057287,509
00016_13-08-2025-14.27,AVE,37.18,38.514999571658166,1.334999571658166,302.05387125167954,291.0,291
00017_13-08-2025-14.42,IRYO,46.52,46.52,0.0,212.68135034021324,212.68135034021324,461
00004_13-08-2025-14.57,AVE,38.6,46.524999908400765,7.924999908400764,394.58012250065576,394.58012250065576,414
00018_13-08-2025-15.27,AVLO,30.93,36.14499989660066,5.214999896600659,538.3722646783185,538.3722646783185,571
00004_13-08-2025-15.57,AVE,44.5,54.5,10.0,416.40882640677745,414.0,414
00007_13-08-2025-16.27,AVE,60.78,67.9549995863251,7.1749995863251,382.70747215884273,382.70747215884273,414
00002_13-08-2025-16.37,IRYO,72.3,72.3,0.0,373.5184819356001,373.5184819356001,461
00004_13-08-2025-16.57,AVE,128.18,122.06999919369495,-6.110000806305052,11.894019748279057,11.894019748279057,414
00015_13-08-2025-17.17,OUIGO,50.07,50.07,0.0,518.898077875379,509.0,509
00009_13-08-2025-17.22,IRYO,48.61,48.61,0.0,471.34242841277916,461.0,461
00006_13-08-2025-17.27,AVE,61.34,63.29500018180808,1.9550001818080744,399.4611831704522,399.4611831704522,414
00004_13-08-2025-17.57,AVE,67.94,67.53000033724062,-0.4099996627593754,409.0859187800661,409.0859187800661,414
00016_13-08-2025-18.27,AVE,47.1,47.99499998825612,0.8949999882561173,434.53697702250264,414.0,414
00002_13-08-2025-18.32,IRYO,43.3,43.3,0.0,465.0665579260153,461.0,461
00004_13-08-2025-18.57,AVE,116.67,110.90999870808334,-5.760001291916666,104.6999227166151,104.69992271661397,414
00009_13-08-2025-19.29,IRYO,18.2,18.2,0.0,469.8730525217709,461.0,461
00019_13-08-2025-19.34,AVLO,29.62,36.78999993347518,7.169999933475179,505.66310722508507,505.66310722508507,581
00004_13-08-2025-20.05,AVE,53.81,63.29500018180816,9.48500018180816,300.970591644372,300.970591644372,414
00009_13-08-2025-20.22,IRYO,22.15,22.15,0.0,463.92789070530335,461.0,461
00020_13-08-2025-20.27,AVE,33.28,36.78499982701745,3.50499982701745,352.26214172863837,352.26214172863837,414
00005_13-08-2025-21.02,OUIGO,41.63,41.63,0.0,67.97531838170477,67.97531838170477,509
00007_13-08-2025-21.07,AVE,51.71,43.054999857063706,-8.655000142936295,142.6008857616926,142.6008857616926,414
