train_idx,train_type,original_price,optimized_price,difference,predicted_demand,real_demand,capacity
00001_13-08-2025-06.12,AVLO,33.97,49.134999902313595,15.164999902313596,584.4284523809524,581.0,581
00002_13-08-2025-06.22,IRYO,37.5,37.5,0.0,656.6452777777799,461.0,461
00003_13-08-2025-06.27,AVE,39.92,56.529999996031336,16.609999996031334,341.0241161616171,341.0241171616171,359
00004_13-08-2025-06.57,AVE,112.01,92.13000018430708,-19.879999815692926,13.334166666651225,13.334167666651215,414
00005_13-08-2025-07.02,OUIGO,31.79,31.79,0.0,119.3316666666667,119.33166766666669,509
00002_13-08-2025-07.22,IRYO,27.22,27.22,0.0,424.38357142321604,424.38357242321604,461
00006_13-08-2025-07.27,AVE,29.92,37.50999984459437,7.589999844594367,418.70095238097025,414.0,414
00004_13-08-2025-07.57,AVE,52.49,43.78999995945571,-8.700000040544289,416.49666666666667,414.0,414
00007_13-08-2025-08.27,AVE,80.85,61.085000073033044,-19.76499992696695,32.08083333331136,32.08083433331135,414
00002_13-08-2025-08.32,IRYO,30.29,30.29,0.0,153.78154761904753,153.78154861904753,461
00008_13-08-2025-08.57,AVE,41.06,40.48499991467805,-0.5750000853219532,426.14244047619064,414.0,414
00009_13-08-2025-09.22,IRYO,31.03,31.03,0.0,152.7932142857142,152.7932152857142,461
00010_13-08-2025-09.27,AVE,61.17,42.94500002547531,-18.224999974524692,330.80636904761906,330.80637004761905,414
00009_13-08-2025-09.57,IRYO,28.87,28.87,0.0,288.0943452380965,288.0943462380965,461
00011_13-08-2025-10.02,OUIGO,25.14,25.14,0.0,352.80333333333425,352.80333433333425,509
00012_13-08-2025-10.27,AVLO,47.25,28.385001244539367,-18.864998755460633,352.3695238095239,352.3695248095239,581
00009_13-08-2025-11.22,IRYO,15.91,15.91,0.0,917.9750000000009,461.0,461
00006_13-08-2025-11.27,AVE,56.42,38.47499971648166,-17.94500028351834,475.0767857142857,475.0767867142857,826
00009_13-08-2025-12.22,IRYO,39.75,39.75,0.0,95.60380952380953,95.60381052380951,461
00013_13-08-2025-12.27,AVE,64.39,44.580000002214746,-19.809999997785255,225.29226190476436,225.29226290476578,378
00004_13-08-2025-12.57,AVE,54.2,42.514999912796995,-11.685000087203008,420.9192857142856,414.0,414
00014_13-08-2025-13.18,AVE,48.24,43.789999959455706,-4.450000040544296,339.9379166666666,339.0,339
00009_13-08-2025-14.02,IRYO,31.97,31.97,0.0,143.9933333333332,143.9933343333332,461
00015_13-08-2025-14.12,OUIGO,37.46,37.46,0.0,63.76476190476182,63.76476290476181,509
00016_13-08-2025-14.27,AVE,36.5,46.66499989155531,10.164999891555311,315.5480573593074,291.0,291
00017_13-08-2025-14.42,IRYO,39.14,39.14,0.0,89.10648809523808,89.10648909523806,461
00004_13-08-2025-14.57,AVE,46.11,46.705000021121364,0.5950000211213649,414.94265873015877,414.0,414
00018_13-08-2025-15.27,AVLO,39.65,28.575000226672365,-11.074999773327633,556.8389285714294,556.8389295714294,571
00004_13-08-2025-15.57,AVE,62.51,55.16500005546842,-7.34499994453158,382.0314285714285,382.0314295714285,414
00007_13-08-2025-16.27,AVE,68.24,69.05000011523222,0.8100001152322278,411.4920833333335,411.4920843333335,414
00002_13-08-2025-16.37,IRYO,45.39,45.39,0.0,678.5919047619049,461.0,461
00004_13-08-2025-16.57,AVE,129.39,146.29000253720037,16.90000253720038,0.016666666666666666,0.016667666666577284,414
00015_13-08-2025-17.17,OUIGO,29.27,29.27,0.0,457.41984126984124,457.41984226984124,509
00009_13-08-2025-17.22,IRYO,52.47,52.47,0.0,78.58833333333331,78.5883343333333,461
00006_13-08-2025-17.27,AVE,53.59,46.45500005005713,-7.134999949942873,413.95142857142906,413.95142957142923,414
00004_13-08-2025-17.57,AVE,67.64,49.094999949321014,-18.545000050678986,416.35124999999994,414.0,414
00016_13-08-2025-18.27,AVE,65.15,46.45500005005711,-18.694999949942897,157.51779761904754,157.51779861904754,414
00002_13-08-2025-18.32,IRYO,40.93,40.93,0.0,105.44095238095238,105.44095338095237,461
00004_13-08-2025-18.57,AVE,98.53,85.55,-12.980000000000004,17.349920634920547,17.349921634920538,414
00009_13-08-2025-19.29,IRYO,37.03,37.03,0.0,43.327499999999986,43.32750099999998,461
00019_13-08-2025-19.34,AVLO,30.29,21.804999618851806,-8.485000381148193,641.9366666666665,581.0,581
00004_13-08-2025-20.05,AVE,45.99,28.810000082934213,-17.17999991706579,322.78916666666674,322.78916766666674,414
00009_13-08-2025-20.22,IRYO,46.53,46.53,0.0,21.35619047619046,21.35619147619045,461
00020_13-08-2025-20.27,AVE,60.35,66.6500001104976,6.300000110497599,11.998095238095237,11.998096238095227,414
00005_13-08-2025-21.02,OUIGO,39.22,39.22,0.0,6.923571428571399,6.923572428571389,509
00007_13-08-2025-21.07,AVE,46.7,28.41500041470203,-18.284999585297975,335.5542261904761,335.55422719047607,414
