train_idx,train_type,original_price,optimized_price,difference,predicted_demand,real_demand,capacity
00021_23-08-2025-06.27,AVLO,33.1,36.81499972497844,3.7149997249784406,551.4335119047621,551.4335129047621,581
00005_23-08-2025-07.02,OUIGO,34.5,34.5,0.0,135.5291666666666,135.5291676666666,509
00006_23-08-2025-07.27,AVE,53.64,49.2800001292026,-4.359999870797402,232.21044191919188,232.21044291919188,414
00009_23-08-2025-08.07,IRYO,28.09,28.09,0.0,454.327499999999,454.3275009999981,461
00007_23-08-2025-08.27,AVE,47.32,43.365000061618616,-3.954999938381384,271.4082539682539,271.4082549682539,414
00008_23-08-2025-08.57,AVE,67.84,72.84,5.0,11.471805555555527,11.471806555555517,836
00009_23-08-2025-09.22,IRYO,20.76,20.76,0.0,986.1250000000001,461.0,461
00010_23-08-2025-09.27,AVE,48.06,43.32500010862604,-4.73499989137396,415.04833333333164,414.0,414
00009_23-08-2025-09.57,IRYO,46.73,46.73,0.0,59.577777777777776,59.577778777777766,461
00011_23-08-2025-10.02,OUIGO,42.34,42.34,0.0,59.164761904761846,59.16476290476184,509
00012_23-08-2025-10.27,AVLO,46.5,50.92499991761645,4.4249999176164465,69.2099404761905,69.20994147619048,581
00009_23-08-2025-11.22,IRYO,58.47,58.47,0.0,25.46642857142858,25.46642957142857,461
00006_23-08-2025-11.27,AVE,36.48,38.720000002425856,2.240000002425859,652.2847222222322,652.2847232222322,803
00009_23-08-2025-12.22,IRYO,39.93,39.93,0.0,129.73273809523815,129.73273909523814,461
00013_23-08-2025-12.27,AVE,47.73,43.48000005890259,-4.249999941097407,381.3560714285714,378.0,378
00014_23-08-2025-13.18,AVE,82.74,81.87500062611086,-0.864999373889134,3.0955357142857234,3.0955367142857138,339
00015_23-08-2025-14.12,OUIGO,19.04,19.04,0.0,951.6900000000005,509.0,509
00017_23-08-2025-14.42,IRYO,32.5,32.5,0.0,210.7705952380952,210.7705962380952,461
00018_23-08-2025-15.27,AVLO,29.5,26.229999406864163,-3.270000593135837,409.80918650792955,409.80918750792955,547
00007_23-08-2025-16.27,AVE,96.92,92.35499890459143,-4.565001095408576,7.822380952380935,7.822381952380925,414
00002_23-08-2025-16.37,IRYO,34.38,34.38,0.0,329.2428174603175,329.2428184603175,461
00015_23-08-2025-17.17,OUIGO,15.93,15.93,0.0,958.0546428571434,509.0,509
00018_23-08-2025-17.27,AVLO,28.11,23.8400005381069,-4.2699994618931,481.7348214285741,481.7348224285741,581
00016_23-08-2025-18.27,AVE,86.73,83.11500022832345,-3.614999771676551,3.5269047619047527,3.526905761904743,414
00009_23-08-2025-19.29,IRYO,28.64,28.64,0.0,62.6690079365079,62.66900893650789,461
00019_23-08-2025-19.34,AVLO,28.7,23.975000335313414,-4.724999664686585,105.6274404761821,105.62744147618209,581
00009_23-08-2025-20.22,IRYO,18.4,18.4,0.0,665.3955357142861,461.0,461
00020_23-08-2025-20.27,AVE,15.06,20.060000000000002,5.000000000000002,705.6979761904761,414.0,414
00005_23-08-2025-21.02,OUIGO,14.21,14.21,0.0,857.7282142857142,509.0,509
