train_idx,train_type,original_price,optimized_price,difference,predicted_demand,actual_demand,capacity
00021_22-03-2025-06.27,AVLO,24.41,31.344999884875293,6.9349998848752925,534.3125,534.3124999999765,581
00005_22-03-2025-07.02,OUIGO,39.26,39.26,0.0,146.5,146.5,509
00006_22-03-2025-07.27,AVE,73.51,83.51,10.0,111.28571428571429,111.28571428571429,414
00009_22-03-2025-08.07,IRYO,32.43,32.43,0.0,229.46153846153845,229.46153846153874,461
00007_22-03-2025-08.27,AVE,53.76,45.12999999547662,-8.630000004523382,146.5,146.5,414
00008_22-03-2025-08.57,AVE,42.38,39.01500031789764,-3.364999682102365,420.64285714285717,420.64285714285717,836
00009_22-03-2025-09.22,IRYO,52.26,52.26,0.0,89.0625,89.06250004025605,461
00010_22-03-2025-09.27,AVE,69.28,66.71499972509395,-2.5650002749060548,85.30769230769232,85.30769230779589,414
00009_22-03-2025-09.57,IRYO,48.85,48.85,0.0,121.57142857142857,121.57142857142857,461
00011_22-03-2025-10.02,OUIGO,40.13,40.13,0.0,146.5,146.5,509
00012_22-03-2025-10.27,AVLO,41.52,32.30499946299221,-9.215000537007796,730.7142857142857,581.0,581
00009_22-03-2025-11.22,IRYO,25.04,25.04,0.0,461.0,461.0,461
00006_22-03-2025-11.27,AVE,42.41,39.01500031789764,-3.394999682102359,229.4615384615148,229.4615384615148,803
00009_22-03-2025-12.22,IRYO,26.92,26.92,0.0,456.42857142857144,456.42857142857144,461
00013_22-03-2025-12.27,AVE,60.41,55.96499990990186,-4.445000090098134,138.64705882352942,138.64705882350577,378
00014_22-03-2025-13.18,AVE,82.74,80.65999962606668,-2.0800003739333164,175.42857142857142,175.42857142857142,339
00015_22-03-2025-14.12,OUIGO,31.15,31.15,0.0,509.0,509.0,509
00017_22-03-2025-14.42,IRYO,30.62,30.62,0.0,451.0,451.0,461
00018_22-03-2025-15.27,AVLO,27.76,32.30499946299221,4.544999462992205,547.0,547.0,547
00007_22-03-2025-16.27,AVE,81.32,80.65999962606668,-0.6600003739333147,175.42857142857142,175.42857142857142,414
00002_22-03-2025-16.37,IRYO,52.76,52.76,0.0,121.57142857142857,121.57142857142857,461
00015_22-03-2025-17.17,OUIGO,10.0,10.0,0.0,509.0,509.0,509
00018_22-03-2025-17.27,AVLO,24.91,32.30499946299221,7.394999462992207,581.0,581.0,581
00016_22-03-2025-18.27,AVE,120.2,130.2,9.999999999999986,43.857142857142854,43.857142857142854,414
00009_22-03-2025-19.29,IRYO,33.89,33.89,0.0,229.46153846153845,229.4615385018169,461
00019_22-03-2025-19.34,AVLO,32.92,32.304999462992214,-0.6150005370077878,581.0,581.0,581
00009_22-03-2025-20.22,IRYO,26.56,26.56,0.0,461.0,461.0,461
00020_22-03-2025-20.27,AVE,21.07,31.070000000000057,10.000000000000057,414.0,414.0,414
00005_22-03-2025-21.02,OUIGO,16.76,16.76,0.0,509.0,509.0,509
