train_idx,train_type,original_price,optimized_price,difference,predicted_demand,real_demand,capacity
00021_22-03-2025-06.27,AVLO,24.41,29.41,5.0,432.26315789473676,432.26315789471346,581
00005_22-03-2025-07.02,OUIGO,39.26,39.26,0.0,60.43750000000003,60.4375000276068,509
00006_22-03-2025-07.27,AVE,73.51,68.65,-4.859999999999999,20.272727272727252,20.27272730034565,414
00009_22-03-2025-08.07,IRYO,32.43,32.43,0.0,135.33333333333334,135.33333333333334,461
00007_22-03-2025-08.27,AVE,53.76,58.76,5.0,82.21428571428571,82.21428571428571,414
00008_22-03-2025-08.57,AVE,42.38,47.38,5.0,119.81250000000001,119.81250000002308,836
00009_22-03-2025-09.22,IRYO,52.26,52.26,0.0,35.0,35.0,461
00010_22-03-2025-09.27,AVE,69.28,74.28,5.0,8.11111111111111,8.11111111111111,414
00009_22-03-2025-09.57,IRYO,48.85,48.85,0.0,35.0,35.0,461
00011_22-03-2025-10.02,OUIGO,40.13,40.13,0.0,60.43750000000003,60.4375000276068,509
00012_22-03-2025-10.27,AVLO,41.52,46.52,5.0,49.5,49.5,581
00009_22-03-2025-11.22,IRYO,25.04,25.04,0.0,635.3636363636364,461.0,461
00006_22-03-2025-11.27,AVE,42.41,47.41,5.0,105.5,105.5,803
00009_22-03-2025-12.22,IRYO,26.92,26.92,0.0,635.3636363636364,461.0,461
00013_22-03-2025-12.27,AVE,60.41,55.440000042051956,-4.9699999579480405,57.27272727272728,57.272727272739075,378
00014_22-03-2025-13.18,AVE,82.74,84.50499991987408,1.7649999198740858,1.0,1.0,339
00015_22-03-2025-14.12,OUIGO,31.15,31.15,0.0,190.36363636363637,190.36363639125375,509
00017_22-03-2025-14.42,IRYO,30.62,30.62,0.0,122.6153846153846,122.61538464298246,461
00018_22-03-2025-15.27,AVLO,27.76,31.58499960358629,3.8249996035862885,122.6153846153846,122.61538461543068,547
00007_22-03-2025-16.27,AVE,81.32,86.32,5.0,10.461538461538453,10.461538489156737,414
00002_22-03-2025-16.37,IRYO,52.76,52.76,0.0,153.57894736842104,153.57894739603398,461
00015_22-03-2025-17.17,OUIGO,10.0,10.0,0.0,1000.0,509.0,509
00018_22-03-2025-17.27,AVLO,24.91,29.91,5.0,122.6153846153846,122.61538461538453,581
00016_22-03-2025-18.27,AVE,120.2,115.2,-5.0,0.0,0.0,414
00009_22-03-2025-19.29,IRYO,33.89,33.89,0.0,26.818181818181813,26.81818184578333,461
00019_22-03-2025-19.34,AVLO,32.92,31.584999603586287,-1.3350003964137152,12.687499999999972,12.687499999953559,581
00009_22-03-2025-20.22,IRYO,26.56,26.56,0.0,44.12499999999997,44.1250000276068,461
00020_22-03-2025-20.27,AVE,21.07,26.07,5.0,51.636363636363626,51.63636363636965,414
00005_22-03-2025-21.02,OUIGO,16.76,16.76,0.0,729.75,509.0,509
