train_idx,train_type,original_price,optimized_price,difference,predicted_demand,real_demand,capacity
00021_23-08-2025-06.27,AVLO,33.1,37.044999720301874,3.9449997203018725,611.6250000000002,581.0,581
00005_23-08-2025-07.02,OUIGO,34.5,34.5,0.0,77.27777777777777,77.27777777777777,509
00006_23-08-2025-07.27,AVE,53.64,55.44000004205195,1.8000000420519484,496.0,414.0,414
00009_23-08-2025-08.07,IRYO,28.09,28.09,0.0,459.8461538461538,459.846153877128,461
00007_23-08-2025-08.27,AVE,47.32,43.47499984481688,-3.845000155183122,405.55555555555554,405.55555555555554,414
00008_23-08-2025-08.57,AVE,67.84,77.84,10.0,16.833333333333332,16.833333333333332,836
00009_23-08-2025-09.22,IRYO,20.76,20.76,0.0,1000.0,461.0,461
00010_23-08-2025-09.27,AVE,48.06,49.97000002537508,1.9100000253750764,611.4117647058844,414.0,414
00009_23-08-2025-09.57,IRYO,46.73,46.73,0.0,57.58823529411768,57.588235294117425,461
00011_23-08-2025-10.02,OUIGO,42.34,42.34,0.0,60.43749999999997,60.43750003091009,509
00012_23-08-2025-10.27,AVLO,46.5,38.81499949424785,-7.68500050575215,141.66666666666666,141.66666666666666,581
00009_23-08-2025-11.22,IRYO,58.47,58.47,0.0,31.8,31.8,461
00006_23-08-2025-11.27,AVE,36.48,35.37500000541111,-1.104999994588887,800.7058823529884,800.7058823529884,803
00009_23-08-2025-12.22,IRYO,39.93,39.93,0.0,123.11764705882352,123.11764708973897,461
00013_23-08-2025-12.27,AVE,47.73,43.47499984481686,-4.25500015518314,405.55555555555554,378.0,378
00014_23-08-2025-13.18,AVE,82.74,92.35499890534699,9.614998905346994,1.8333333333333333,1.8333333333333333,339
00015_23-08-2025-14.12,OUIGO,19.04,19.04,0.0,463.0,463.0,509
00017_23-08-2025-14.42,IRYO,32.5,32.5,0.0,195.0,195.0,461
00018_23-08-2025-15.27,AVLO,29.5,23.624999459224217,-5.875000540775783,616.3749999999991,547.0,547
00007_23-08-2025-16.27,AVE,96.92,92.35499890534692,-4.565001094653084,10.461538461538481,10.461538461527766,414
00002_23-08-2025-16.37,IRYO,34.38,34.38,0.0,346.2142857142857,346.2142857142857,461
00015_23-08-2025-17.17,OUIGO,15.93,15.93,0.0,937.875,509.0,509
00018_23-08-2025-17.27,AVLO,28.11,24.52499924828261,-3.585000751717388,616.3750000000002,581.0,581
00016_23-08-2025-18.27,AVE,86.73,81.61000018785215,-5.119999812147853,4.636363636363598,4.6363636363527405,414
00009_23-08-2025-19.29,IRYO,28.64,28.64,0.0,115.41666666666667,115.41666666666667,461
00019_23-08-2025-19.34,AVLO,28.7,21.804999619607287,-6.8950003803927125,1000.0,581.0,581
00009_23-08-2025-20.22,IRYO,18.4,18.4,0.0,569.3333333333334,461.0,461
00020_23-08-2025-20.27,AVE,15.06,25.060000000000002,10.000000000000002,350.1666666666667,350.1666666666667,414
00005_23-08-2025-21.02,OUIGO,14.21,14.21,0.0,886.6666666666666,509.0,509
