filename,ml_model,day,delta,total_revenue,gap,n_vars,n_bin_vars,n_cont_vars,n_constrs,peak_ram_usage_MB,status,time_seconds,executed_on,device
2025-03-12_delta_5_obj_238072_06.csv,demand_gbm-price_gbm,2025-03-12,5,238072.06479824107,0.001267085662955258,583780,580528,3252,872844,1527.97265625,Optimal,22.73841094970703,2025-10-27 18:01:51,mat-msi-3900xt
2025-03-12_delta_10_obj_289581_10.csv,demand_gbm-price_gbm,2025-03-12,10,289581.10156558413,0.0019049259370048565,583780,580528,3252,872844,4747.37890625,Optimal,9050.487149000168,2025-10-27 20:32:59,mat-msi-3900xt
2025-03-12_delta_20_obj_421573_41.csv,demand_gbm-price_gbm,2025-03-12,20,421573.4068078392,0.2561950793519287,583780,580528,3252,872844,5761.21484375,Time Limit,21600.10164499283,2025-10-28 02:33:18,mat-msi-3900xt
2025-03-22_delta_5_obj_107952_88.csv,demand_gbm-price_gbm,2025-03-22,5,107952.87923633671,0.0,377129,375002,2127,563854,3677.26953125,Optimal,12.161625862121582,2025-10-28 02:33:42,mat-msi-3900xt
2025-03-22_delta_10_obj_121462_92.csv,demand_gbm-price_gbm,2025-03-22,10,121462.92176819539,0.0008384975273164548,377129,375002,2127,563854,3545.27734375,Optimal,2388.0034489631653,2025-10-28 03:13:41,mat-msi-3900xt
2025-03-22_delta_20_obj_177830_66.csv,demand_gbm-price_gbm,2025-03-22,20,177830.662986479,0.2947599216419148,377129,375002,2127,563854,6338.328125,Time Limit,21600.150070905685,2025-10-28 09:13:52,mat-msi-3900xt
2025-08-13_delta_5_obj_293696_48.csv,demand_gbm-price_gbm,2025-08-13,5,293696.4787568234,0.0008771765245580282,583780,580528,3252,872844,4778.37109375,Optimal,4.740731954574585,2025-10-28 09:14:15,mat-msi-3900xt
2025-08-13_delta_10_obj_351405_01.csv,demand_gbm-price_gbm,2025-08-13,10,351405.0088957517,0.0,583780,580528,3252,872844,3829.62890625,Optimal,489.7169699668884,2025-10-28 09:22:42,mat-msi-3900xt
2025-08-13_delta_20_obj_455538_54.csv,demand_gbm-price_gbm,2025-08-13,20,455538.5402838914,0.12098724458044308,583780,580528,3252,872844,6207.5859375,Time Limit,21600.064076900482,2025-10-28 15:23:00,mat-msi-3900xt
2025-08-23_delta_5_obj_168853_81.csv,demand_gbm-price_gbm,2025-08-23,5,168853.81272547494,0.0,377129,375002,2127,563854,4628.65625,Optimal,4.946736097335815,2025-10-28 15:23:17,mat-msi-3900xt
2025-08-23_delta_10_obj_187206_56.csv,demand_gbm-price_gbm,2025-08-23,10,187206.56362047396,6.075646896758304e-11,377129,375002,2127,563854,3274.7109375,Optimal,170.87434792518616,2025-10-28 15:26:19,mat-msi-3900xt
2025-08-23_delta_20_obj_219743_42.csv,demand_gbm-price_gbm,2025-08-23,20,219743.42492706163,0.06841750952521364,377129,375002,2127,563854,6550.3984375,Time Limit,21600.06040406227,2025-10-28 21:26:30,mat-msi-3900xt
