service_id,capacity,duration,price,capacity_window_1h,time_distance_competitor_-2,price_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,duration_competitor_2,is_holiday_pm1,is_holiday_madrid_pm1,is_holiday_catalonia_pm1,month_sin,month_cos,day_of_week_sin,day_of_week_cos,departure_time_sin,departure_time_cos,train_type_AVE,train_type_AVLO,train_type_IRYO,train_type_OUIGO,train_type_competitor_-2_AVE,train_type_competitor_-2_AVLO,train_type_competitor_-2_IRYO,train_type_competitor_-2_OUIGO,train_type_competitor_-1_AVE,train_type_competitor_-1_AVLO,train_type_competitor_-1_IRYO,train_type_competitor_-1_OUIGO,train_type_competitor_1_AVE,train_type_competitor_1_AVLO,train_type_competitor_1_IRYO,train_type_competitor_1_OUIGO,train_type_competitor_2_AVE,train_type_competitor_2_AVLO,train_type_competitor_2_IRYO,train_type_competitor_2_OUIGO,passengers
00003_01-01-2025-06.27,359,178.0,48.5,1401.0,-15.0,28.17,157.0,-4.8,43.27,157.0,30.0,92.14,157.0,34.8,30.72,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.9930684569549263,-0.11753739745783758,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,359
00004_01-01-2025-06.57,414,157.0,92.14,1384.0,-34.8,43.27,157.0,-30.0,48.5,178.0,4.8,30.72,172.0,25.2,23.74,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.9692309097067544,-0.24615329302899283,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,15
00005_01-01-2025-07.02,509,172.0,30.72,1798.0,-34.8,48.5,178.0,-4.8,92.14,157.0,20.4,23.74,157.0,25.2,23.02,199.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.963863295733281,-0.2663973482191175,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,422
00002_01-01-2025-07.22,461,157.0,23.74,1798.0,-25.2,92.14,157.0,-20.4,30.72,172.0,4.8,23.02,199.0,34.8,24.02,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.9363662190354899,-0.3510246484923544,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,461
00006_01-01-2025-07.27,414,199.0,23.02,1384.0,-25.2,30.72,172.0,-4.8,23.74,157.0,30.0,24.02,157.0,60.0,90.52,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.9288095528719242,-0.3705574375098363,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,414
00004_01-01-2025-07.57,414,157.0,24.02,414.0,-34.8,23.74,157.0,-30.0,23.02,199.0,30.0,90.52,172.0,34.8,34.49,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.8724960070727973,-0.4886212414969547,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,414
00007_01-01-2025-08.27,414,172.0,90.52,1289.0,-60.0,23.02,199.0,-30.0,24.02,157.0,4.8,34.49,157.0,30.0,41.12,164.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.8012538126910609,-0.5983246005706587,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
00002_01-01-2025-08.32,461,157.0,34.49,1289.0,-34.8,24.02,157.0,-4.8,90.52,172.0,25.2,41.12,164.0,50.4,24.08,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.7885477194774019,-0.6149735718768643,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,461
00008_01-01-2025-08.57,414,164.0,41.12,1336.0,-30.0,90.52,172.0,-25.2,34.49,157.0,25.2,24.08,172.0,30.0,71.65,194.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.7163019434246544,-0.69779045984168,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,414
00009_01-01-2025-09.22,461,172.0,24.08,1289.0,-50.4,34.49,157.0,-25.2,41.12,164.0,4.8,71.65,194.0,34.8,43.08,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.6354046086841412,-0.7721793724666267,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,461
00010_01-01-2025-09.27,414,194.0,71.65,875.0,-30.0,41.12,164.0,-4.8,24.08,172.0,30.0,43.08,172.0,34.8,38.7,182.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.6190939493098342,-0.7853169308807447,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,15
00009_01-01-2025-09.57,461,172.0,43.08,970.0,-34.8,24.08,172.0,-30.0,71.65,194.0,4.8,38.7,182.0,30.0,48.9,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.5112930860770522,-0.8594064115014527,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,282
00011_01-01-2025-10.02,509,182.0,38.7,1551.0,-34.8,71.65,194.0,-4.8,43.08,172.0,25.2,48.9,172.0,80.4,24.69,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.49318290113396607,-0.8699256439656694,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,486
00012_01-01-2025-10.27,581,172.0,48.9,1090.0,-30.0,43.08,172.0,-25.2,38.7,182.0,55.2,24.69,172.0,60.0,51.21,199.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.3947438563842674,-0.9187912101488982,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2
00009_01-01-2025-11.22,461,172.0,24.69,1287.0,-80.4,38.7,182.0,-55.2,48.9,172.0,4.8,51.21,199.0,60.0,49.08,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.164186846568863,-0.9864292571764954,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,461
00006_01-01-2025-11.27,826,199.0,51.21,1287.0,-60.0,48.9,172.0,-4.8,24.69,172.0,55.2,49.08,172.0,60.0,46.83,197.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.1434926219911798,-0.9896513868196701,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,270
00009_01-01-2025-12.22,461,172.0,49.08,839.0,-60.0,24.69,172.0,-55.2,51.21,199.0,4.8,46.83,197.0,34.8,55.54,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.09671436296578365,-0.9953121781612655,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,150
00013_01-01-2025-12.27,378,197.0,46.83,839.0,-60.0,51.21,199.0,-4.8,49.08,172.0,30.0,55.54,157.0,51.0,48.24,184.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.11753739745783774,-0.9930684569549263,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,256
00004_01-01-2025-12.57,414,157.0,55.54,753.0,-34.8,49.08,172.0,-30.0,46.83,197.0,21.0,48.24,184.0,64.8,38.93,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.24615329302899255,-0.9692309097067545,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,161
00014_01-01-2025-13.18,339,184.0,48.24,753.0,-51.0,46.83,197.0,-21.0,55.54,157.0,43.8,38.93,172.0,54.0,26.83,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.33380685923377096,-0.9426414910921784,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,202
00009_01-01-2025-14.02,461,172.0,38.93,1261.0,-64.8,55.54,157.0,-43.8,48.24,184.0,10.2,26.83,157.0,25.2,47.43,177.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.5067862565108238,-0.8620717430769586,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,461
00015_01-01-2025-14.12,509,157.0,26.83,1261.0,-54.0,48.24,184.0,-10.2,38.93,172.0,15.0,47.43,177.0,30.0,47.39,179.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.5446390350150268,-0.8386705679454243,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,509
00016_01-01-2025-14.27,291,177.0,47.43,1722.0,-25.2,38.93,172.0,-15.0,26.83,157.0,15.0,47.39,179.0,30.0,32.05,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.598324600570659,-0.8012538126910607,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,287
00017_01-01-2025-14.42,461,179.0,47.39,1166.0,-30.0,26.83,157.0,-15.0,47.43,177.0,15.0,32.05,157.0,45.0,33.63,199.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.6494480483301835,-0.760405965600031,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,113
00004_01-01-2025-14.57,414,157.0,32.05,875.0,-30.0,47.43,177.0,-15.0,47.39,179.0,30.0,33.63,199.0,60.0,41.95,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.6977904598416796,-0.7163019434246547,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,414
00018_01-01-2025-15.27,571,199.0,33.63,571.0,-45.0,47.39,179.0,-30.0,32.05,157.0,30.0,41.95,157.0,60.0,84.98,172.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.7853169308807447,-0.6190939493098343,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,571
00004_01-01-2025-15.57,414,157.0,41.95,414.0,-60.0,32.05,157.0,-30.0,33.63,199.0,30.0,84.98,172.0,40.2,34.66,157.0,1,1,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.8594064115014524,-0.5112930860770526,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,414
