service_id,train_type,year,month,day_of_week,departure_time,duration,price,passengers,time_distance_competitor_-2,price_competitor_-2,train_type_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,train_type_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,train_type_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,train_type_competitor_2,duration_competitor_2
00003_01-01-2025-06.27,AVE,2025,1,2,6.45,178.0,62.39,166,-15.0,32.26,AVLO,157.0,-4.8,37.3,IRYO,157.0,30.0,117.44,AVE,157.0,34.8,47.7,OUIGO,172.0
00004_01-01-2025-06.57,AVE,2025,1,2,6.95,157.0,117.44,0,-34.8,37.3,IRYO,157.0,-30.0,62.39,AVE,178.0,4.8,47.7,OUIGO,172.0,25.2,34.55,IRYO,157.0
00005_01-01-2025-07.02,OUIGO,2025,1,2,7.03,172.0,47.7,17,-34.8,62.39,AVE,178.0,-4.8,117.44,AVE,157.0,20.4,34.55,IRYO,157.0,25.2,18.51,AVE,199.0
00002_01-01-2025-07.22,IRYO,2025,1,2,7.37,157.0,34.55,227,-25.2,117.44,AVE,157.0,-20.4,47.7,OUIGO,172.0,4.8,18.51,AVE,199.0,34.8,26.07,AVE,157.0
00006_01-01-2025-07.27,AVE,2025,1,2,7.45,199.0,18.51,14405,-25.2,47.7,OUIGO,172.0,-4.8,34.55,IRYO,157.0,30.0,26.07,AVE,157.0,60.0,94.98,AVE,172.0
00004_01-01-2025-07.57,AVE,2025,1,2,7.95,157.0,26.07,3856,-34.8,34.55,IRYO,157.0,-30.0,18.51,AVE,199.0,30.0,94.98,AVE,172.0,34.8,56.98,IRYO,157.0
00007_01-01-2025-08.27,AVE,2025,1,2,8.45,172.0,94.98,0,-60.0,18.51,AVE,199.0,-30.0,26.07,AVE,157.0,4.8,56.98,IRYO,157.0,30.0,55.02,AVE,164.0
00002_01-01-2025-08.32,IRYO,2025,1,2,8.53,157.0,56.98,5,-34.8,26.07,AVE,157.0,-4.8,94.98,AVE,172.0,25.2,55.02,AVE,164.0,50.4,29.62,IRYO,172.0
00008_01-01-2025-08.57,AVE,2025,1,2,8.95,164.0,55.02,120,-30.0,94.98,AVE,172.0,-25.2,56.98,IRYO,157.0,25.2,29.62,IRYO,172.0,30.0,62.9,AVE,194.0
00009_01-01-2025-09.22,IRYO,2025,1,2,9.37,172.0,29.62,417,-50.4,56.98,IRYO,157.0,-25.2,55.02,AVE,164.0,4.8,62.9,AVE,194.0,34.8,32.6,IRYO,172.0
00010_01-01-2025-09.27,AVE,2025,1,2,9.45,194.0,62.9,60,-30.0,55.02,AVE,164.0,-4.8,29.62,IRYO,172.0,30.0,32.6,IRYO,172.0,34.8,30.19,OUIGO,182.0
00009_01-01-2025-09.57,IRYO,2025,1,2,9.95,172.0,32.6,404,-34.8,29.62,IRYO,172.0,-30.0,62.9,AVE,194.0,4.8,30.19,OUIGO,182.0,30.0,46.41,AVLO,172.0
00011_01-01-2025-10.02,OUIGO,2025,1,2,10.03,182.0,30.19,226,-34.8,62.9,AVE,194.0,-4.8,32.6,IRYO,172.0,25.2,46.41,AVLO,172.0,80.4,36.98,IRYO,172.0
00012_01-01-2025-10.27,AVLO,2025,1,2,10.45,172.0,46.41,121,-30.0,32.6,IRYO,172.0,-25.2,30.19,OUIGO,182.0,55.2,36.98,IRYO,172.0,60.0,41.8,AVE,199.0
00009_01-01-2025-11.22,IRYO,2025,1,2,11.37,172.0,36.98,347,-80.4,30.19,OUIGO,182.0,-55.2,46.41,AVLO,172.0,4.8,41.8,AVE,199.0,60.0,39.48,IRYO,172.0
00006_01-01-2025-11.27,AVE,2025,1,2,11.45,199.0,41.8,705,-60.0,46.41,AVLO,172.0,-4.8,36.98,IRYO,172.0,55.2,39.48,IRYO,172.0,60.0,32.94,AVE,197.0
00009_01-01-2025-12.22,IRYO,2025,1,2,12.37,172.0,39.48,190,-60.0,36.98,IRYO,172.0,-55.2,41.8,AVE,199.0,4.8,32.94,AVE,197.0,34.8,73.49,AVE,157.0
00013_01-01-2025-12.27,AVE,2025,1,2,12.45,197.0,32.94,1203,-60.0,41.8,AVE,199.0,-4.8,39.48,IRYO,172.0,30.0,73.49,AVE,157.0,51.0,48.24,AVE,184.0
00004_01-01-2025-12.57,AVE,2025,1,2,12.95,157.0,73.49,32,-34.8,39.48,IRYO,172.0,-30.0,32.94,AVE,197.0,21.0,48.24,AVE,184.0,64.8,46.2,IRYO,172.0
00014_01-01-2025-13.18,AVE,2025,1,2,13.3,184.0,48.24,86,-51.0,32.94,AVE,197.0,-21.0,73.49,AVE,157.0,43.8,46.2,IRYO,172.0,54.0,34.88,OUIGO,157.0
00009_01-01-2025-14.02,IRYO,2025,1,2,14.03,172.0,46.2,27,-64.8,73.49,AVE,157.0,-43.8,48.24,AVE,184.0,10.2,34.88,OUIGO,157.0,25.2,32.53,AVE,177.0
00015_01-01-2025-14.12,OUIGO,2025,1,2,14.2,157.0,34.88,69,-54.0,48.24,AVE,184.0,-10.2,46.2,IRYO,172.0,15.0,32.53,AVE,177.0,30.0,58.15,IRYO,179.0
00016_01-01-2025-14.27,AVE,2025,1,2,14.45,177.0,32.53,910,-25.2,46.2,IRYO,172.0,-15.0,34.88,OUIGO,157.0,15.0,58.15,IRYO,179.0,30.0,40.55,AVE,157.0
00017_01-01-2025-14.42,IRYO,2025,1,2,14.7,179.0,58.15,7,-30.0,34.88,OUIGO,157.0,-15.0,32.53,AVE,177.0,15.0,40.55,AVE,157.0,45.0,33.82,AVLO,199.0
00004_01-01-2025-14.57,AVE,2025,1,2,14.95,157.0,40.55,643,-30.0,32.53,AVE,177.0,-15.0,58.15,IRYO,179.0,30.0,33.82,AVLO,199.0,60.0,31.87,AVE,157.0
00018_01-01-2025-15.27,AVLO,2025,1,2,15.45,199.0,33.82,99,-45.0,58.15,IRYO,179.0,-30.0,40.55,AVE,157.0,30.0,31.87,AVE,157.0,60.0,61.04,AVE,172.0
00004_01-01-2025-15.57,AVE,2025,1,2,15.95,157.0,31.87,1869,-60.0,40.55,AVE,157.0,-30.0,33.82,AVLO,199.0,30.0,61.04,AVE,172.0,40.2,48.05,IRYO,157.0
00007_01-01-2025-16.27,AVE,2025,1,2,16.45,172.0,61.04,186,-60.0,33.82,AVLO,199.0,-30.0,31.87,AVE,157.0,10.2,48.05,IRYO,157.0,30.0,118.61,AVE,157.0
00002_01-01-2025-16.37,IRYO,2025,1,2,16.62,157.0,48.05,153,-40.2,31.87,AVE,157.0,-10.2,61.04,AVE,172.0,19.8,118.61,AVE,157.0,39.6,58.99,OUIGO,157.0
00004_01-01-2025-16.57,AVE,2025,1,2,16.95,157.0,118.61,0,-30.0,61.04,AVE,172.0,-19.8,48.05,IRYO,157.0,19.8,58.99,OUIGO,157.0,25.2,28.92,IRYO,172.0
00015_01-01-2025-17.17,OUIGO,2025,1,2,17.28,157.0,58.99,12,-39.6,48.05,IRYO,157.0,-19.8,118.61,AVE,157.0,5.4,28.92,IRYO,172.0,10.2,60.85,AVE,199.0
00009_01-01-2025-17.22,IRYO,2025,1,2,17.37,172.0,28.92,548,-25.2,118.61,AVE,157.0,-5.4,58.99,OUIGO,157.0,4.8,60.85,AVE,199.0,34.8,46.46,AVE,157.0
00006_01-01-2025-17.27,AVE,2025,1,2,17.45,199.0,60.85,98,-10.2,58.99,OUIGO,157.0,-4.8,28.92,IRYO,172.0,30.0,46.46,AVE,157.0,60.0,71.18,AVE,177.0
00004_01-01-2025-17.57,AVE,2025,1,2,17.95,157.0,46.46,546,-34.8,28.92,IRYO,172.0,-30.0,60.85,AVE,199.0,30.0,71.18,AVE,177.0,34.8,41.19,IRYO,157.0
00016_01-01-2025-18.27,AVE,2025,1,2,18.45,177.0,71.18,17,-60.0,60.85,AVE,199.0,-30.0,46.46,AVE,157.0,4.8,41.19,IRYO,157.0,30.0,122.96,AVE,157.0
00002_01-01-2025-18.32,IRYO,2025,1,2,18.53,157.0,41.19,90,-34.8,46.46,AVE,157.0,-4.8,71.18,AVE,177.0,25.2,122.96,AVE,157.0,57.0,47.84,IRYO,172.0
00004_01-01-2025-18.57,AVE,2025,1,2,18.95,157.0,122.96,0,-30.0,71.18,AVE,177.0,-25.2,41.19,IRYO,157.0,31.8,47.84,IRYO,172.0,37.2,33.06,AVLO,201.0
00009_01-01-2025-19.29,IRYO,2025,1,2,19.48,172.0,47.84,7,-57.0,41.19,IRYO,157.0,-31.8,122.96,AVE,157.0,5.4,33.06,AVLO,201.0,36.0,50.57,AVE,157.0
00019_01-01-2025-19.34,AVLO,2025,1,2,19.57,201.0,33.06,18,-37.2,122.96,AVE,157.0,-5.4,47.84,IRYO,172.0,30.6,50.57,AVE,157.0,48.0,24.29,IRYO,172.0
00004_01-01-2025-20.05,AVE,2025,1,2,20.08,157.0,50.57,37,-36.0,47.84,IRYO,172.0,-30.6,33.06,AVLO,201.0,17.4,24.29,IRYO,172.0,22.2,16.99,AVE,201.0
00009_01-01-2025-20.22,IRYO,2025,1,2,20.37,172.0,24.29,345,-48.0,33.06,AVLO,201.0,-17.4,50.57,AVE,157.0,4.8,16.99,AVE,201.0,39.6,31.1,OUIGO,172.0
00020_01-01-2025-20.27,AVE,2025,1,2,20.45,201.0,16.99,12843,-22.2,50.57,AVE,157.0,-4.8,24.29,IRYO,172.0,34.8,31.1,OUIGO,172.0,40.2,64.75,AVE,172.0
00005_01-01-2025-21.02,OUIGO,2025,1,2,21.03,172.0,31.1,1,-39.6,24.29,IRYO,172.0,-34.8,16.99,AVE,201.0,5.4,64.75,AVE,172.0,889.8,31.04,AVLO,157.0
00007_01-01-2025-21.07,AVE,2025,1,2,21.12,172.0,64.75,1,-40.2,16.99,AVE,201.0,-5.4,31.1,OUIGO,172.0,895.2,31.04,AVLO,157.0,885.0,48.09,IRYO,157.0
00001_02-01-2025-06.12,AVLO,2025,1,3,6.2,157.0,31.04,2516,-889.8,31.1,OUIGO,172.0,-895.2,64.75,AVE,172.0,10.2,48.09,IRYO,157.0,15.0,26.39,AVE,178.0
00002_02-01-2025-06.22,IRYO,2025,1,3,6.37,157.0,48.09,497,-885.0,64.75,AVE,172.0,-10.2,31.04,AVLO,157.0,4.8,26.39,AVE,178.0,34.8,87.64,AVE,157.0
00003_02-01-2025-06.27,AVE,2025,1,3,6.45,178.0,26.39,6780,-15.0,31.04,AVLO,157.0,-4.8,48.09,IRYO,157.0,30.0,87.64,AVE,157.0,34.8,45.43,OUIGO,172.0
00004_02-01-2025-06.57,AVE,2025,1,3,6.95,157.0,87.64,16,-34.8,48.09,IRYO,157.0,-30.0,26.39,AVE,178.0,4.8,45.43,OUIGO,172.0,25.2,48.18,IRYO,157.0
00005_02-01-2025-07.02,OUIGO,2025,1,3,7.03,172.0,45.43,43,-34.8,26.39,AVE,178.0,-4.8,87.64,AVE,157.0,20.4,48.18,IRYO,157.0,25.2,24.79,AVE,199.0
00002_02-01-2025-07.22,IRYO,2025,1,3,7.37,157.0,48.18,125,-25.2,87.64,AVE,157.0,-20.4,45.43,OUIGO,172.0,4.8,24.79,AVE,199.0,34.8,49.68,AVE,157.0
00006_02-01-2025-07.27,AVE,2025,1,3,7.45,199.0,24.79,4288,-25.2,45.43,OUIGO,172.0,-4.8,48.18,IRYO,157.0,30.0,49.68,AVE,157.0,60.0,79.11,AVE,172.0
00004_02-01-2025-07.57,AVE,2025,1,3,7.95,157.0,49.68,470,-34.8,48.18,IRYO,157.0,-30.0,24.79,AVE,199.0,30.0,79.11,AVE,172.0,34.8,51.27,IRYO,157.0
00007_02-01-2025-08.27,AVE,2025,1,3,8.45,172.0,79.11,4,-60.0,24.79,AVE,199.0,-30.0,49.68,AVE,157.0,4.8,51.27,IRYO,157.0,30.0,60.72,AVE,164.0
00002_02-01-2025-08.32,IRYO,2025,1,3,8.53,157.0,51.27,45,-34.8,49.68,AVE,157.0,-4.8,79.11,AVE,172.0,25.2,60.72,AVE,164.0,50.4,47.23,IRYO,172.0
00008_02-01-2025-08.57,AVE,2025,1,3,8.95,164.0,60.72,183,-30.0,79.11,AVE,172.0,-25.2,51.27,IRYO,157.0,25.2,47.23,IRYO,172.0,30.0,53.06,AVE,194.0
00009_02-01-2025-09.22,IRYO,2025,1,3,9.37,172.0,47.23,175,-50.4,51.27,IRYO,157.0,-25.2,60.72,AVE,164.0,4.8,53.06,AVE,194.0,34.8,47.62,IRYO,172.0
00010_02-01-2025-09.27,AVE,2025,1,3,9.45,194.0,53.06,626,-30.0,60.72,AVE,164.0,-4.8,47.23,IRYO,172.0,30.0,47.62,IRYO,172.0,34.8,35.49,OUIGO,182.0
00009_02-01-2025-09.57,IRYO,2025,1,3,9.95,172.0,47.62,271,-34.8,47.23,IRYO,172.0,-30.0,53.06,AVE,194.0,4.8,35.49,OUIGO,182.0,30.0,51.42,AVLO,172.0
00011_02-01-2025-10.02,OUIGO,2025,1,3,10.03,182.0,35.49,429,-34.8,53.06,AVE,194.0,-4.8,47.62,IRYO,172.0,25.2,51.42,AVLO,172.0,80.4,68.99,IRYO,172.0
00012_02-01-2025-10.27,AVLO,2025,1,3,10.45,172.0,51.42,273,-30.0,47.62,IRYO,172.0,-25.2,35.49,OUIGO,182.0,55.2,68.99,IRYO,172.0,60.0,60.42,AVE,199.0
00009_02-01-2025-11.22,IRYO,2025,1,3,11.37,172.0,68.99,43,-80.4,35.49,OUIGO,182.0,-55.2,51.42,AVLO,172.0,4.8,60.42,AVE,199.0,60.0,61.95,IRYO,172.0
00006_02-01-2025-11.27,AVE,2025,1,3,11.45,199.0,60.42,581,-60.0,51.42,AVLO,172.0,-4.8,68.99,IRYO,172.0,55.2,61.95,IRYO,172.0,60.0,56.09,AVE,197.0
00009_02-01-2025-12.22,IRYO,2025,1,3,12.37,172.0,61.95,89,-60.0,68.99,IRYO,172.0,-55.2,60.42,AVE,199.0,4.8,56.09,AVE,197.0,34.8,67.02,AVE,157.0
00013_02-01-2025-12.27,AVE,2025,1,3,12.45,197.0,56.09,660,-60.0,60.42,AVE,199.0,-4.8,61.95,IRYO,172.0,30.0,67.02,AVE,157.0,51.0,55.14,AVE,184.0
00004_02-01-2025-12.57,AVE,2025,1,3,12.95,157.0,67.02,394,-34.8,61.95,IRYO,172.0,-30.0,56.09,AVE,197.0,21.0,55.14,AVE,184.0,64.8,34.63,IRYO,172.0
00014_02-01-2025-13.18,AVE,2025,1,3,13.3,184.0,55.14,334,-51.0,56.09,AVE,197.0,-21.0,67.02,AVE,157.0,43.8,34.63,IRYO,172.0,54.0,35.11,OUIGO,157.0
00009_02-01-2025-14.02,IRYO,2025,1,3,14.03,172.0,34.63,1322,-64.8,67.02,AVE,157.0,-43.8,55.14,AVE,184.0,10.2,35.11,OUIGO,157.0,25.2,84.7,AVE,177.0
00015_02-01-2025-14.12,OUIGO,2025,1,3,14.2,157.0,35.11,892,-54.0,55.14,AVE,184.0,-10.2,34.63,IRYO,172.0,15.0,84.7,AVE,177.0,30.0,39.25,IRYO,179.0
00016_02-01-2025-14.27,AVE,2025,1,3,14.45,177.0,84.7,52,-25.2,34.63,IRYO,172.0,-15.0,35.11,OUIGO,157.0,15.0,39.25,IRYO,179.0,30.0,88.31,AVE,157.0
00017_02-01-2025-14.42,IRYO,2025,1,3,14.7,179.0,39.25,842,-30.0,35.11,OUIGO,157.0,-15.0,84.7,AVE,177.0,15.0,88.31,AVE,157.0,45.0,40.2,AVLO,199.0
