service_id,train_type,capacity,train_model,year,month,day_of_week,departure_time,duration,price,passengers,capacity_window_1h
00001_01-01-2025-06.12,AVLO,581,S-106,2025,1,2,6.2,157.0,28.17,181,1401.0
00002_01-01-2025-06.22,IRYO,461,S-109,2025,1,2,6.37,157.0,43.27,461,1401.0
00003_01-01-2025-06.27,AVE,359,S-103,2025,1,2,6.45,178.0,48.5,359,1401.0
00004_01-01-2025-06.57,AVE,414,S-103,2025,1,2,6.95,157.0,92.14,15,1384.0
00005_01-01-2025-07.02,OUIGO,509,S-108,2025,1,2,7.03,172.0,30.72,422,1798.0
00002_01-01-2025-07.22,IRYO,461,S-109,2025,1,2,7.37,157.0,23.74,461,1798.0
00006_01-01-2025-07.27,AVE,414,S-103,2025,1,2,7.45,199.0,23.02,414,1384.0
00004_01-01-2025-07.57,AVE,414,S-103,2025,1,2,7.95,157.0,24.02,414,414.0
00007_01-01-2025-08.27,AVE,414,S-103,2025,1,2,8.45,172.0,90.52,2,1289.0
00002_01-01-2025-08.32,IRYO,461,S-109,2025,1,2,8.53,157.0,34.49,461,1289.0
00008_01-01-2025-08.57,AVE,414,S-103,2025,1,2,8.95,164.0,41.12,414,1336.0
00009_01-01-2025-09.22,IRYO,461,S-109,2025,1,2,9.37,172.0,24.08,461,1289.0
00010_01-01-2025-09.27,AVE,414,S-103,2025,1,2,9.45,194.0,71.65,15,875.0
00009_01-01-2025-09.57,IRYO,461,S-109,2025,1,2,9.95,172.0,43.08,282,970.0
00011_01-01-2025-10.02,OUIGO,509,S-108,2025,1,2,10.03,182.0,38.7,486,1551.0
00012_01-01-2025-10.27,AVLO,581,S-106,2025,1,2,10.45,172.0,48.9,2,1090.0
00009_01-01-2025-11.22,IRYO,461,S-109,2025,1,2,11.37,172.0,24.69,461,1287.0
00006_01-01-2025-11.27,AVE,826,S-103,2025,1,2,11.45,199.0,51.21,270,1287.0
00009_01-01-2025-12.22,IRYO,461,S-109,2025,1,2,12.37,172.0,49.08,150,839.0
00013_01-01-2025-12.27,AVE,378,S-103,2025,1,2,12.45,197.0,46.83,256,839.0
00004_01-01-2025-12.57,AVE,414,S-103,2025,1,2,12.95,157.0,55.54,161,753.0
00014_01-01-2025-13.18,AVE,339,S-100,2025,1,2,13.3,184.0,48.24,202,753.0
00009_01-01-2025-14.02,IRYO,461,S-109,2025,1,2,14.03,172.0,38.93,461,1261.0
00015_01-01-2025-14.12,OUIGO,509,S-108,2025,1,2,14.2,157.0,26.83,509,1261.0
00016_01-01-2025-14.27,AVE,291,S-100,2025,1,2,14.45,177.0,47.43,287,1722.0
00017_01-01-2025-14.42,IRYO,461,S-109,2025,1,2,14.7,179.0,47.39,113,1166.0
00004_01-01-2025-14.57,AVE,414,S-103,2025,1,2,14.95,157.0,32.05,414,875.0
00018_01-01-2025-15.27,AVLO,571,S-106,2025,1,2,15.45,199.0,33.63,571,571.0
00004_01-01-2025-15.57,AVE,414,S-103,2025,1,2,15.95,157.0,41.95,414,414.0
00007_01-01-2025-16.27,AVE,414,S-103,2025,1,2,16.45,172.0,84.98,11,875.0
00002_01-01-2025-16.37,IRYO,461,S-109,2025,1,2,16.62,157.0,34.66,461,1289.0
00004_01-01-2025-16.57,AVE,414,S-103,2025,1,2,16.95,157.0,123.44,0,1845.0
00015_01-01-2025-17.17,OUIGO,509,S-108,2025,1,2,17.28,157.0,52.99,509,1798.0
00009_01-01-2025-17.22,IRYO,461,S-109,2025,1,2,17.37,172.0,37.42,461,1798.0
00006_01-01-2025-17.27,AVE,414,S-103,2025,1,2,17.45,199.0,67.92,39,1384.0
00004_01-01-2025-17.57,AVE,414,S-103,2025,1,2,17.95,157.0,38.05,414,414.0
00016_01-01-2025-18.27,AVE,414,S-103,2025,1,2,18.45,177.0,64.88,79,875.0
00002_01-01-2025-18.32,IRYO,461,S-109,2025,1,2,18.53,157.0,54.72,232,1289.0
00004_01-01-2025-18.57,AVE,414,S-103,2025,1,2,18.95,157.0,99.32,1,875.0
00009_01-01-2025-19.29,IRYO,461,S-109,2025,1,2,19.48,172.0,27.59,461,1042.0
00019_01-01-2025-19.34,AVLO,581,S-106,2025,1,2,19.57,201.0,30.58,469,1042.0
00004_01-01-2025-20.05,AVE,414,S-103,2025,1,2,20.08,157.0,67.27,32,1289.0
00009_01-01-2025-20.22,IRYO,461,S-109,2025,1,2,20.37,172.0,52.08,57,1289.0
00020_01-01-2025-20.27,AVE,414,S-103,2025,1,2,20.45,201.0,32.28,414,1289.0
00005_01-01-2025-21.02,OUIGO,509,S-108,2025,1,2,21.03,172.0,46.26,52,923.0
00007_01-01-2025-21.07,AVE,414,S-103,2025,1,2,21.12,172.0,63.05,2,923.0
00001_02-01-2025-06.12,AVLO,581,S-106,2025,1,3,6.2,157.0,33.37,581,1401.0
00002_02-01-2025-06.22,IRYO,461,S-109,2025,1,3,6.37,157.0,37.14,461,1401.0
00003_02-01-2025-06.27,AVE,359,S-103,2025,1,3,6.45,178.0,47.73,359,1401.0
00004_02-01-2025-06.57,AVE,414,S-103,2025,1,3,6.95,157.0,62.84,414,1384.0
00005_02-01-2025-07.02,OUIGO,509,S-108,2025,1,3,7.03,172.0,36.85,509,1798.0
00002_02-01-2025-07.22,IRYO,461,S-109,2025,1,3,7.37,157.0,29.99,461,1798.0
00006_02-01-2025-07.27,AVE,414,S-103,2025,1,3,7.45,199.0,39.79,414,1384.0
00004_02-01-2025-07.57,AVE,414,S-103,2025,1,3,7.95,157.0,50.19,414,414.0
00007_02-01-2025-08.27,AVE,414,S-103,2025,1,3,8.45,172.0,57.21,414,1289.0
00002_02-01-2025-08.32,IRYO,461,S-109,2025,1,3,8.53,157.0,43.32,461,1289.0
00008_02-01-2025-08.57,AVE,414,S-103,2025,1,3,8.95,164.0,66.66,414,1336.0
00009_02-01-2025-09.22,IRYO,461,S-109,2025,1,3,9.37,172.0,34.72,461,1289.0
00010_02-01-2025-09.27,AVE,414,S-103,2025,1,3,9.45,194.0,62.91,414,875.0
00009_02-01-2025-09.57,IRYO,461,S-109,2025,1,3,9.95,172.0,43.04,461,970.0
00011_02-01-2025-10.02,OUIGO,509,S-108,2025,1,3,10.03,182.0,58.66,398,1551.0
00012_02-01-2025-10.27,AVLO,581,S-106,2025,1,3,10.45,172.0,53.45,54,1090.0
00009_02-01-2025-11.22,IRYO,461,S-109,2025,1,3,11.37,172.0,48.13,461,1287.0
00006_02-01-2025-11.27,AVE,826,S-103,2025,1,3,11.45,199.0,60.59,214,1287.0
00009_02-01-2025-12.22,IRYO,461,S-109,2025,1,3,12.37,172.0,53.83,388,839.0
00013_02-01-2025-12.27,AVE,378,S-103,2025,1,3,12.45,197.0,51.88,378,839.0
00004_02-01-2025-12.57,AVE,414,S-103,2025,1,3,12.95,157.0,45.75,414,753.0
00014_02-01-2025-13.18,AVE,339,S-100,2025,1,3,13.3,184.0,55.14,339,753.0
00004_02-01-2025-13.57,AVE,414,s-103,2025,1,3,13.95,157.0,,0,1384.0
00009_02-01-2025-14.02,IRYO,461,S-109,2025,1,3,14.03,172.0,,0,1675.0
00015_02-01-2025-14.12,OUIGO,509,S-108,2025,1,3,14.2,157.0,,0,1675.0
00016_02-01-2025-14.27,AVE,291,S-100,2025,1,3,14.45,177.0,87.57,74,1722.0
00017_02-01-2025-14.42,IRYO,461,S-109,2025,1,3,14.7,179.0,42.9,461,1166.0
00004_02-01-2025-14.57,AVE,414,S-103,2025,1,3,14.95,157.0,92.16,160,875.0
00018_02-01-2025-15.27,AVLO,571,S-106,2025,1,3,15.45,199.0,32.28,571,571.0
00004_02-01-2025-15.57,AVE,414,S-103,2025,1,3,15.95,157.0,103.74,405,414.0
00007_02-01-2025-16.27,AVE,414,S-103,2025,1,3,16.45,172.0,44.88,414,875.0
00002_02-01-2025-16.37,IRYO,461,S-109,2025,1,3,16.62,157.0,37.25,461,1289.0
00004_02-01-2025-16.57,AVE,414,S-103,2025,1,3,16.95,157.0,145.9,27,1845.0
00015_02-01-2025-17.17,OUIGO,509,S-108,2025,1,3,17.28,157.0,43.64,509,1798.0
00009_02-01-2025-17.22,IRYO,461,S-109,2025,1,3,17.37,172.0,72.86,461,1798.0
00006_02-01-2025-17.27,AVE,414,S-103,2025,1,3,17.45,199.0,71.8,414,1384.0
00004_02-01-2025-17.57,AVE,414,S-103,2025,1,3,17.95,157.0,68.59,414,414.0
00016_02-01-2025-18.27,AVE,414,S-103,2025,1,3,18.45,177.0,60.37,414,875.0
00002_02-01-2025-18.32,IRYO,461,S-109,2025,1,3,18.53,157.0,44.96,461,1289.0
00004_02-01-2025-18.57,AVE,414,S-103,2025,1,3,18.95,157.0,103.05,352,875.0
00009_02-01-2025-19.29,IRYO,461,S-109,2025,1,3,19.48,172.0,48.17,461,1042.0
00019_02-01-2025-19.34,AVLO,581,S-106,2025,1,3,19.57,201.0,35.71,581,1042.0
00004_02-01-2025-20.05,AVE,414,S-103,2025,1,3,20.08,157.0,65.35,414,1289.0
00009_02-01-2025-20.22,IRYO,461,S-109,2025,1,3,20.37,172.0,35.82,461,1289.0
00020_02-01-2025-20.27,AVE,414,S-103,2025,1,3,20.45,201.0,53.96,414,1289.0
00005_02-01-2025-21.02,OUIGO,509,S-108,2025,1,3,21.03,172.0,32.42,509,923.0
00007_02-01-2025-21.07,AVE,414,S-103,2025,1,3,21.12,172.0,72.95,55,923.0
00002_03-01-2025-06.22,IRYO,461,S-109,2025,1,4,6.37,157.0,17.23,461,988.0
00021_03-01-2025-06.27,AVLO,527,S-106,2025,1,4,6.45,178.0,22.61,527,988.0
00004_03-01-2025-06.57,AVE,414,S-103,2025,1,4,6.95,157.0,38.86,414,1384.0
00005_03-01-2025-07.02,OUIGO,509,S-108,2025,1,4,7.03,172.0,59.76,509,1798.0
00002_03-01-2025-07.22,IRYO,461,S-109,2025,1,4,7.37,157.0,30.94,461,1798.0
