service_id,train_type,capacity,train_model,year,month,day_of_week,departure_time,duration,price,passengers,capacity_window_1h,time_distance_competitor_-2,price_competitor_-2,train_type_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,train_type_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,train_type_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,train_type_competitor_2,duration_competitor_2
00003_01-01-2025-06.27,AVE,359,S-103,2025,1,2,6.45,178.0,48.5,359,1401.0,-15.0,28.17,AVLO,157.0,-4.8,43.27,IRYO,157.0,30.0,92.14,AVE,157.0,34.8,30.72,OUIGO,172.0
00004_01-01-2025-06.57,AVE,414,S-103,2025,1,2,6.95,157.0,92.14,15,1384.0,-34.8,43.27,IRYO,157.0,-30.0,48.5,AVE,178.0,4.8,30.72,OUIGO,172.0,25.2,23.74,IRYO,157.0
00005_01-01-2025-07.02,OUIGO,509,S-108,2025,1,2,7.03,172.0,30.72,422,1798.0,-34.8,48.5,AVE,178.0,-4.8,92.14,AVE,157.0,20.4,23.74,IRYO,157.0,25.2,23.02,AVE,199.0
00002_01-01-2025-07.22,IRYO,461,S-109,2025,1,2,7.37,157.0,23.74,461,1798.0,-25.2,92.14,AVE,157.0,-20.4,30.72,OUIGO,172.0,4.8,23.02,AVE,199.0,34.8,24.02,AVE,157.0
00006_01-01-2025-07.27,AVE,414,S-103,2025,1,2,7.45,199.0,23.02,414,1384.0,-25.2,30.72,OUIGO,172.0,-4.8,23.74,IRYO,157.0,30.0,24.02,AVE,157.0,60.0,90.52,AVE,172.0
00004_01-01-2025-07.57,AVE,414,S-103,2025,1,2,7.95,157.0,24.02,414,414.0,-34.8,23.74,IRYO,157.0,-30.0,23.02,AVE,199.0,30.0,90.52,AVE,172.0,34.8,34.49,IRYO,157.0
00007_01-01-2025-08.27,AVE,414,S-103,2025,1,2,8.45,172.0,90.52,2,1289.0,-60.0,23.02,AVE,199.0,-30.0,24.02,AVE,157.0,4.8,34.49,IRYO,157.0,30.0,41.12,AVE,164.0
00002_01-01-2025-08.32,IRYO,461,S-109,2025,1,2,8.53,157.0,34.49,461,1289.0,-34.8,24.02,AVE,157.0,-4.8,90.52,AVE,172.0,25.2,41.12,AVE,164.0,50.4,24.08,IRYO,172.0
00008_01-01-2025-08.57,AVE,414,S-103,2025,1,2,8.95,164.0,41.12,414,1336.0,-30.0,90.52,AVE,172.0,-25.2,34.49,IRYO,157.0,25.2,24.08,IRYO,172.0,30.0,71.65,AVE,194.0
00009_01-01-2025-09.22,IRYO,461,S-109,2025,1,2,9.37,172.0,24.08,461,1289.0,-50.4,34.49,IRYO,157.0,-25.2,41.12,AVE,164.0,4.8,71.65,AVE,194.0,34.8,43.08,IRYO,172.0
00010_01-01-2025-09.27,AVE,414,S-103,2025,1,2,9.45,194.0,71.65,15,875.0,-30.0,41.12,AVE,164.0,-4.8,24.08,IRYO,172.0,30.0,43.08,IRYO,172.0,34.8,38.7,OUIGO,182.0
00009_01-01-2025-09.57,IRYO,461,S-109,2025,1,2,9.95,172.0,43.08,282,970.0,-34.8,24.08,IRYO,172.0,-30.0,71.65,AVE,194.0,4.8,38.7,OUIGO,182.0,30.0,48.9,AVLO,172.0
00011_01-01-2025-10.02,OUIGO,509,S-108,2025,1,2,10.03,182.0,38.7,486,1551.0,-34.8,71.65,AVE,194.0,-4.8,43.08,IRYO,172.0,25.2,48.9,AVLO,172.0,80.4,24.69,IRYO,172.0
