trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,capacity,train_model,original_price_scraping,BasicSeat
00001,60000,71801,AVLO,AVLO,2025-01-01 06:12:00,2025-01-01 08:49:00,0 days 02:37:00,00001_01-01-2025-06.12,581.0,S-106,29.0,22.54
00002,60000,71801,IRYO,IRYO,2025-01-01 06:22:00,2025-01-01 08:59:00,0 days 02:37:00,00002_01-01-2025-06.22,461.0,S-109,27.58,43.27
00003,60000,71801,AVE,AVE,2025-01-01 06:27:00,2025-01-01 09:25:00,0 days 02:58:00,00003_01-01-2025-06.27,359.0,S-103,40.2,38.8
00004,60000,71801,AVE,AVE,2025-01-01 06:57:00,2025-01-01 09:34:00,0 days 02:37:00,00004_01-01-2025-06.57,414.0,S-103,81.35,73.71
00005,60000,71801,OUIGO,OUIGO,2025-01-01 07:02:00,2025-01-01 09:54:00,0 days 02:52:00,00005_01-01-2025-07.02,509.0,S-108,33.0,30.72
00002,60000,71801,IRYO,IRYO,2025-01-01 07:22:00,2025-01-01 09:59:00,0 days 02:37:00,00002_01-01-2025-07.22,461.0,S-109,28.41,23.74
00006,60000,71801,AVE,AVE,2025-01-01 07:27:00,2025-01-01 10:46:00,0 days 03:19:00,00006_01-01-2025-07.27,414.0,S-103,28.75,18.42
00004,60000,71801,AVE,AVE,2025-01-01 07:57:00,2025-01-01 10:34:00,0 days 02:37:00,00004_01-01-2025-07.57,414.0,S-103,40.7,19.22
00007,60000,71801,AVE,AVE,2025-01-01 08:27:00,2025-01-01 11:19:00,0 days 02:52:00,00007_01-01-2025-08.27,414.0,S-103,68.95,72.42
00002,60000,71801,IRYO,IRYO,2025-01-01 08:32:00,2025-01-01 11:09:00,0 days 02:37:00,00002_01-01-2025-08.32,461.0,S-109,35.57,34.49
00008,60000,71801,AVE,AVE,2025-01-01 08:57:00,2025-01-01 11:41:00,0 days 02:44:00,00008_01-01-2025-08.57,414.0,S-103,40.7,32.9
00009,60000,71801,IRYO,IRYO,2025-01-01 09:22:00,2025-01-01 12:14:00,0 days 02:52:00,00009_01-01-2025-09.22,461.0,S-109,31.97,24.08
00010,60000,71801,AVE,AVE,2025-01-01 09:27:00,2025-01-01 12:41:00,0 days 03:14:00,00010_01-01-2025-09.27,414.0,S-103,57.45,57.32
00009,60000,71801,IRYO,IRYO,2025-01-01 09:57:00,2025-01-01 12:49:00,0 days 02:52:00,00009_01-01-2025-09.57,461.0,S-109,34.77,43.08
00011,60000,71801,OUIGO,OUIGO,2025-01-01 10:02:00,2025-01-01 13:04:00,0 days 03:02:00,00011_01-01-2025-10.02,509.0,S-108,39.0,38.7
00012,60000,71801,AVLO,AVLO,2025-01-01 10:27:00,2025-01-01 13:19:00,0 days 02:52:00,00012_01-01-2025-10.27,581.0,S-106,39.0,39.12
00009,60000,71801,IRYO,IRYO,2025-01-01 11:22:00,2025-01-01 14:14:00,0 days 02:52:00,00009_01-01-2025-11.22,461.0,S-109,39.56,24.69
00006,60000,71801,AVE,AVE,2025-01-01 11:27:00,2025-01-01 14:46:00,0 days 03:19:00,00006_01-01-2025-11.27,826.0,S-103,40.2,40.97
00009,60000,71801,IRYO,IRYO,2025-01-01 12:22:00,2025-01-01 15:14:00,0 days 02:52:00,00009_01-01-2025-12.22,461.0,S-109,35.57,49.08
00013,60000,71801,AVE,AVE,2025-01-01 12:27:00,2025-01-01 15:44:00,0 days 03:17:00,00013_01-01-2025-12.27,378.0,S-103,40.7,37.46
00004,60000,71801,AVE,AVE,2025-01-01 12:57:00,2025-01-01 15:34:00,0 days 02:37:00,00004_01-01-2025-12.57,414.0,S-103,40.7,44.43
00014,60000,71801,AVE INT,AVE INT,2025-01-01 13:18:00,2025-01-01 16:22:00,0 days 03:04:00,00014_01-01-2025-13.18,339.0,S-100,40.2,38.59
00009,60000,71801,IRYO,IRYO,2025-01-01 14:02:00,2025-01-01 16:54:00,0 days 02:52:00,00009_01-01-2025-14.02,461.0,S-109,35.57,38.93
00015,60000,71801,OUIGO,OUIGO,2025-01-01 14:12:00,2025-01-01 16:49:00,0 days 02:37:00,00015_01-01-2025-14.12,509.0,S-108,33.0,26.83
00016,60000,71801,AVE,AVE,2025-01-01 14:27:00,2025-01-01 17:24:00,0 days 02:57:00,00016_01-01-2025-14.27,291.0,S-100,34.45,37.94
00017,60000,71801,IRYO,IRYO,2025-01-01 14:42:00,2025-01-01 17:41:00,0 days 02:59:00,00017_01-01-2025-14.42,461.0,S-109,50.78,47.39
00004,60000,71801,AVE,AVE,2025-01-01 14:57:00,2025-01-01 17:34:00,0 days 02:37:00,00004_01-01-2025-14.57,414.0,S-103,40.7,25.64
00018,60000,71801,AVLO,AVLO,2025-01-01 15:27:00,2025-01-01 18:46:00,0 days 03:19:00,00018_01-01-2025-15.27,571.0,S-106,29.0,26.9
00004,60000,71801,AVE,AVE,2025-01-01 15:57:00,2025-01-01 18:34:00,0 days 02:37:00,00004_01-01-2025-15.57,414.0,S-103,40.7,33.56
00007,60000,71801,AVE,AVE,2025-01-01 16:27:00,2025-01-01 19:19:00,0 days 02:52:00,00007_01-01-2025-16.27,414.0,S-103,45.95,67.98
00002,60000,71801,IRYO,IRYO,2025-01-01 16:37:00,2025-01-01 19:14:00,0 days 02:37:00,00002_01-01-2025-16.37,461.0,S-109,35.57,34.66
