trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,original_price_scraping,BasicSeat
00001,60000,71801,AVLO,AVLO,2025-01-01 06:12:00,2025-01-01 08:49:00,0 days 02:37:00,00001_01-01-2025-06.12,29.0,33.8
00002,60000,71801,IRYO,IRYO,2025-01-01 06:22:00,2025-01-01 08:59:00,0 days 02:37:00,00002_01-01-2025-06.22,27.58,43.27
00003,60000,71801,AVE,AVE,2025-01-01 06:27:00,2025-01-01 09:25:00,0 days 02:58:00,00003_01-01-2025-06.27,40.2,58.2
00004,60000,71801,AVE,AVE,2025-01-01 06:57:00,2025-01-01 09:34:00,0 days 02:37:00,00004_01-01-2025-06.57,81.35,110.57
00005,60000,71801,OUIGO,OUIGO,2025-01-01 07:02:00,2025-01-01 09:54:00,0 days 02:52:00,00005_01-01-2025-07.02,33.0,30.72
00002,60000,71801,IRYO,IRYO,2025-01-01 07:22:00,2025-01-01 09:59:00,0 days 02:37:00,00002_01-01-2025-07.22,28.41,23.74
00006,60000,71801,AVE,AVE,2025-01-01 07:27:00,2025-01-01 10:46:00,0 days 03:19:00,00006_01-01-2025-07.27,28.75,27.62
00004,60000,71801,AVE,AVE,2025-01-01 07:57:00,2025-01-01 10:34:00,0 days 02:37:00,00004_01-01-2025-07.57,40.7,28.82
00007,60000,71801,AVE,AVE,2025-01-01 08:27:00,2025-01-01 11:19:00,0 days 02:52:00,00007_01-01-2025-08.27,68.95,108.62
00002,60000,71801,IRYO,IRYO,2025-01-01 08:32:00,2025-01-01 11:09:00,0 days 02:37:00,00002_01-01-2025-08.32,35.57,34.49
00008,60000,71801,AVE,AVE,2025-01-01 08:57:00,2025-01-01 11:41:00,0 days 02:44:00,00008_01-01-2025-08.57,40.7,49.34
00009,60000,71801,IRYO,IRYO,2025-01-01 09:22:00,2025-01-01 12:14:00,0 days 02:52:00,00009_01-01-2025-09.22,31.97,24.08
00010,60000,71801,AVE,AVE,2025-01-01 09:27:00,2025-01-01 12:41:00,0 days 03:14:00,00010_01-01-2025-09.27,57.45,85.98
00009,60000,71801,IRYO,IRYO,2025-01-01 09:57:00,2025-01-01 12:49:00,0 days 02:52:00,00009_01-01-2025-09.57,34.77,43.08
00011,60000,71801,OUIGO,OUIGO,2025-01-01 10:02:00,2025-01-01 13:04:00,0 days 03:02:00,00011_01-01-2025-10.02,39.0,38.7
00012,60000,71801,AVLO,AVLO,2025-01-01 10:27:00,2025-01-01 13:19:00,0 days 02:52:00,00012_01-01-2025-10.27,39.0,58.68
00009,60000,71801,IRYO,IRYO,2025-01-01 11:22:00,2025-01-01 14:14:00,0 days 02:52:00,00009_01-01-2025-11.22,39.56,24.69
00006,60000,71801,AVE,AVE,2025-01-01 11:27:00,2025-01-01 14:46:00,0 days 03:19:00,00006_01-01-2025-11.27,40.2,61.45
00009,60000,71801,IRYO,IRYO,2025-01-01 12:22:00,2025-01-01 15:14:00,0 days 02:52:00,00009_01-01-2025-12.22,35.57,49.08
00013,60000,71801,AVE,AVE,2025-01-01 12:27:00,2025-01-01 15:44:00,0 days 03:17:00,00013_01-01-2025-12.27,40.7,56.2
00004,60000,71801,AVE,AVE,2025-01-01 12:57:00,2025-01-01 15:34:00,0 days 02:37:00,00004_01-01-2025-12.57,40.7,66.65
00014,60000,71801,AVE INT,AVE INT,2025-01-01 13:18:00,2025-01-01 16:22:00,0 days 03:04:00,00014_01-01-2025-13.18,40.2,57.89
00009,60000,71801,IRYO,IRYO,2025-01-01 14:02:00,2025-01-01 16:54:00,0 days 02:52:00,00009_01-01-2025-14.02,35.57,38.93
00015,60000,71801,OUIGO,OUIGO,2025-01-01 14:12:00,2025-01-01 16:49:00,0 days 02:37:00,00015_01-01-2025-14.12,33.0,26.83
00016,60000,71801,AVE,AVE,2025-01-01 14:27:00,2025-01-01 17:24:00,0 days 02:57:00,00016_01-01-2025-14.27,34.45,56.92
00017,60000,71801,IRYO,IRYO,2025-01-01 14:42:00,2025-01-01 17:41:00,0 days 02:59:00,00017_01-01-2025-14.42,50.78,47.39
00004,60000,71801,AVE,AVE,2025-01-01 14:57:00,2025-01-01 17:34:00,0 days 02:37:00,00004_01-01-2025-14.57,40.7,38.46
00018,60000,71801,AVLO,AVLO,2025-01-01 15:27:00,2025-01-01 18:46:00,0 days 03:19:00,00018_01-01-2025-15.27,29.0,40.36
00004,60000,71801,AVE,AVE,2025-01-01 15:57:00,2025-01-01 18:34:00,0 days 02:37:00,00004_01-01-2025-15.57,40.7,50.34
00007,60000,71801,AVE,AVE,2025-01-01 16:27:00,2025-01-01 19:19:00,0 days 02:52:00,00007_01-01-2025-16.27,45.95,101.98
00002,60000,71801,IRYO,IRYO,2025-01-01 16:37:00,2025-01-01 19:14:00,0 days 02:37:00,00002_01-01-2025-16.37,35.57,34.66
00004,60000,71801,AVE,AVE,2025-01-01 16:57:00,2025-01-01 19:34:00,0 days 02:37:00,00004_01-01-2025-16.57,108.5,148.13
00015,60000,71801,OUIGO,OUIGO,2025-01-01 17:17:00,2025-01-01 19:54:00,0 days 02:37:00,00015_01-01-2025-17.17,39.0,52.99
00009,60000,71801,IRYO,IRYO,2025-01-01 17:22:00,2025-01-01 20:14:00,0 days 02:52:00,00009_01-01-2025-17.22,31.2,37.42
00006,60000,71801,AVE,AVE,2025-01-01 17:27:00,2025-01-01 20:46:00,0 days 03:19:00,00006_01-01-2025-17.27,45.95,81.5
00004,60000,71801,AVE,AVE,2025-01-01 17:57:00,2025-01-01 20:34:00,0 days 02:37:00,00004_01-01-2025-17.57,45.95,45.66
00016,60000,71801,AVE,AVE,2025-01-01 18:27:00,2025-01-01 21:24:00,0 days 02:57:00,00016_01-01-2025-18.27,57.45,77.86
00002,60000,71801,IRYO,IRYO,2025-01-01 18:32:00,2025-01-01 21:09:00,0 days 02:37:00,00002_01-01-2025-18.32,35.57,54.72
00004,60000,71801,AVE,AVE,2025-01-01 18:57:00,2025-01-01 21:34:00,0 days 02:37:00,00004_01-01-2025-18.57,94.9,119.18
00009,60000,71801,IRYO,IRYO,2025-01-01 19:29:00,2025-01-01 22:21:00,0 days 02:52:00,00009_01-01-2025-19.29,34.77,27.59
00019,60000,71801,AVLO,AVLO,2025-01-01 19:34:00,2025-01-01 22:55:00,0 days 03:21:00,00019_01-01-2025-19.34,25.0,36.7
00004,60000,71801,AVE,AVE,2025-01-01 20:05:00,2025-01-01 22:42:00,0 days 02:37:00,00004_01-01-2025-20.05,40.7,80.72
00009,60000,71801,IRYO,IRYO,2025-01-01 20:22:00,2025-01-01 23:14:00,0 days 02:52:00,00009_01-01-2025-20.22,29.26,52.08
00020,60000,71801,AVE,AVE,2025-01-01 20:27:00,2025-01-01 23:48:00,0 days 03:21:00,00020_01-01-2025-20.27,34.45,38.74
00005,60000,71801,OUIGO,OUIGO,2025-01-01 21:02:00,2025-01-01 23:54:00,0 days 02:52:00,00005_01-01-2025-21.02,33.0,46.26
00007,60000,71801,AVE,AVE,2025-01-01 21:07:00,2025-01-01 23:59:00,0 days 02:52:00,00007_01-01-2025-21.07,45.85,75.66
00001,60000,71801,AVLO,AVLO,2025-01-02 06:12:00,2025-01-02 08:49:00,0 days 02:37:00,00001_02-01-2025-06.12,25.0,40.04
00002,60000,71801,IRYO,IRYO,2025-01-02 06:22:00,2025-01-02 08:59:00,0 days 02:37:00,00002_02-01-2025-06.22,29.26,37.14
00003,60000,71801,AVE,AVE,2025-01-02 06:27:00,2025-01-02 09:25:00,0 days 02:58:00,00003_02-01-2025-06.27,34.45,57.28
00004,60000,71801,AVE,AVE,2025-01-02 06:57:00,2025-01-02 09:34:00,0 days 02:37:00,00004_02-01-2025-06.57,54.25,75.41
00005,60000,71801,OUIGO,OUIGO,2025-01-02 07:02:00,2025-01-02 09:54:00,0 days 02:52:00,00005_02-01-2025-07.02,33.0,36.85
00002,60000,71801,IRYO,IRYO,2025-01-02 07:22:00,2025-01-02 09:59:00,0 days 02:37:00,00002_02-01-2025-07.22,31.04,29.99
00006,60000,71801,AVE,AVE,2025-01-02 07:27:00,2025-01-02 10:46:00,0 days 03:19:00,00006_02-01-2025-07.27,34.45,47.75
00004,60000,71801,AVE,AVE,2025-01-02 07:57:00,2025-01-02 10:34:00,0 days 02:37:00,00004_02-01-2025-07.57,40.7,60.23
00007,60000,71801,AVE,AVE,2025-01-02 08:27:00,2025-01-02 11:19:00,0 days 02:52:00,00007_02-01-2025-08.27,45.95,68.65
00002,60000,71801,IRYO,IRYO,2025-01-02 08:32:00,2025-01-02 11:09:00,0 days 02:37:00,00002_02-01-2025-08.32,44.01,43.32
00008,60000,71801,AVE,AVE,2025-01-02 08:57:00,2025-01-02 11:41:00,0 days 02:44:00,00008_02-01-2025-08.57,54.25,79.99
00009,60000,71801,IRYO,IRYO,2025-01-02 09:22:00,2025-01-02 12:14:00,0 days 02:52:00,00009_02-01-2025-09.22,55.5,34.72
00010,60000,71801,AVE,AVE,2025-01-02 09:27:00,2025-01-02 12:41:00,0 days 03:14:00,00010_02-01-2025-09.27,45.95,75.49
00009,60000,71801,IRYO,IRYO,2025-01-02 09:57:00,2025-01-02 12:49:00,0 days 02:52:00,00009_02-01-2025-09.57,50.78,43.04
00011,60000,71801,OUIGO,OUIGO,2025-01-02 10:02:00,2025-01-02 13:04:00,0 days 03:02:00,00011_02-01-2025-10.02,45.0,58.66
00012,60000,71801,AVLO,AVLO,2025-01-02 10:27:00,2025-01-02 13:19:00,0 days 02:52:00,00012_02-01-2025-10.27,45.0,64.14
00009,60000,71801,IRYO,IRYO,2025-01-02 11:22:00,2025-01-02 14:14:00,0 days 02:52:00,00009_02-01-2025-11.22,54.46,48.13
