trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,BasicSeat
00001,60000,71801,AVLO,AVLO,2025-01-01 06:12:00,2025-01-01 08:49:00,0 days 02:37:00,00001_01-01-2025-06.12,34.52
00002,60000,71801,IRYO,IRYO,2025-01-01 06:22:00,2025-01-01 08:59:00,0 days 02:37:00,00002_01-01-2025-06.22,43.16
00003,60000,71801,AVE,AVE,2025-01-01 06:27:00,2025-01-01 09:25:00,0 days 02:58:00,00003_01-01-2025-06.27,55.7
00004,60000,71801,AVE,AVE,2025-01-01 06:57:00,2025-01-01 09:34:00,0 days 02:37:00,00004_01-01-2025-06.57,82.99
00005,60000,71801,OUIGO,OUIGO,2025-01-01 07:02:00,2025-01-01 09:54:00,0 days 02:52:00,00005_01-01-2025-07.02,36.73
00002,60000,71801,IRYO,IRYO,2025-01-01 07:22:00,2025-01-01 09:59:00,0 days 02:37:00,00002_01-01-2025-07.22,30.65
00006,60000,71801,AVE,AVE,2025-01-01 07:27:00,2025-01-01 10:46:00,0 days 03:19:00,00006_01-01-2025-07.27,27.76
00004,60000,71801,AVE,AVE,2025-01-01 07:57:00,2025-01-01 10:34:00,0 days 02:37:00,00004_01-01-2025-07.57,47.82
00007,60000,71801,AVE,AVE,2025-01-01 08:27:00,2025-01-01 11:19:00,0 days 02:52:00,00007_01-01-2025-08.27,104.56
00002,60000,71801,IRYO,IRYO,2025-01-01 08:32:00,2025-01-01 11:09:00,0 days 02:37:00,00002_01-01-2025-08.32,38.41
00008,60000,71801,AVE,AVE,2025-01-01 08:57:00,2025-01-01 11:41:00,0 days 02:44:00,00008_01-01-2025-08.57,63.01
00009,60000,71801,IRYO,IRYO,2025-01-01 09:22:00,2025-01-01 12:14:00,0 days 02:52:00,00009_01-01-2025-09.22,34.27
00010,60000,71801,AVE,AVE,2025-01-01 09:27:00,2025-01-01 12:41:00,0 days 03:14:00,00010_01-01-2025-09.27,66.83
00009,60000,71801,IRYO,IRYO,2025-01-01 09:57:00,2025-01-01 12:49:00,0 days 02:52:00,00009_01-01-2025-09.57,47.13
