trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,capacity,train_model,original_price_scraping,BasicSeat
1,60000,71801,AVLO,AVLO,2025-01-01 06:12:00,2025-01-01 08:49:00,0 days 02:37:00,00001_01-01-2025-06.12,581.0,S-106,29.0,34.52
2,60000,71801,IRYO,IRYO,2025-01-01 06:22:00,2025-01-01 08:59:00,0 days 02:37:00,00002_01-01-2025-06.22,461.0,S-109,27.58,43.16
3,60000,71801,AVE,AVE,2025-01-01 06:27:00,2025-01-01 09:25:00,0 days 02:58:00,00003_01-01-2025-06.27,359.0,S-103,40.2,55.7
4,60000,71801,AVE,AVE,2025-01-01 06:57:00,2025-01-01 09:34:00,0 days 02:37:00,00004_01-01-2025-06.57,414.0,S-103,81.35,82.99
5,60000,71801,OUIGO,OUIGO,2025-01-01 07:02:00,2025-01-01 09:54:00,0 days 02:52:00,00005_01-01-2025-07.02,509.0,S-108,33.0,36.73
2,60000,71801,IRYO,IRYO,2025-01-01 07:22:00,2025-01-01 09:59:00,0 days 02:37:00,00002_01-01-2025-07.22,461.0,S-109,28.41,30.65
6,60000,71801,AVE,AVE,2025-01-01 07:27:00,2025-01-01 10:46:00,0 days 03:19:00,00006_01-01-2025-07.27,414.0,S-103,28.75,27.76
4,60000,71801,AVE,AVE,2025-01-01 07:57:00,2025-01-01 10:34:00,0 days 02:37:00,00004_01-01-2025-07.57,414.0,S-103,40.7,47.82
7,60000,71801,AVE,AVE,2025-01-01 08:27:00,2025-01-01 11:19:00,0 days 02:52:00,00007_01-01-2025-08.27,414.0,S-103,68.95,104.56
2,60000,71801,IRYO,IRYO,2025-01-01 08:32:00,2025-01-01 11:09:00,0 days 02:37:00,00002_01-01-2025-08.32,461.0,S-109,35.57,38.41
8,60000,71801,AVE,AVE,2025-01-01 08:57:00,2025-01-01 11:41:00,0 days 02:44:00,00008_01-01-2025-08.57,414.0,S-103,40.7,63.01
9,60000,71801,IRYO,IRYO,2025-01-01 09:22:00,2025-01-01 12:14:00,0 days 02:52:00,00009_01-01-2025-09.22,461.0,S-109,31.97,34.27
