service_id,stop_id,arrival,departure
00001_01-01-2025-06.12,60000,0,0
00001_01-01-2025-06.12,71801,157,157
00002_01-01-2025-06.22,60000,0,0
00002_01-01-2025-06.22,71801,157,157
00003_01-01-2025-06.27,60000,0,0
00003_01-01-2025-06.27,71801,178,178
00004_01-01-2025-06.57,60000,0,0
00004_01-01-2025-06.57,71801,157,157
00005_01-01-2025-07.02,60000,0,0
00005_01-01-2025-07.02,71801,172,172
00002_01-01-2025-07.22,60000,0,0
00002_01-01-2025-07.22,71801,157,157
00006_01-01-2025-07.27,60000,0,0
00006_01-01-2025-07.27,71801,199,199
00004_01-01-2025-07.57,60000,0,0
00004_01-01-2025-07.57,71801,157,157
00007_01-01-2025-08.27,60000,0,0
00007_01-01-2025-08.27,71801,172,172
00002_01-01-2025-08.32,60000,0,0
00002_01-01-2025-08.32,71801,157,157
00008_01-01-2025-08.57,60000,0,0
00008_01-01-2025-08.57,71801,164,164
00009_01-01-2025-09.22,60000,0,0
00009_01-01-2025-09.22,71801,172,172
00010_01-01-2025-09.27,60000,0,0
00010_01-01-2025-09.27,71801,194,194
00009_01-01-2025-09.57,60000,0,0
00009_01-01-2025-09.57,71801,172,172
00011_01-01-2025-10.02,60000,0,0
00011_01-01-2025-10.02,71801,182,182
00012_01-01-2025-10.27,60000,0,0
00012_01-01-2025-10.27,71801,172,172
00009_01-01-2025-11.22,60000,0,0
00009_01-01-2025-11.22,71801,172,172
00006_01-01-2025-11.27,60000,0,0
00006_01-01-2025-11.27,71801,199,199
00009_01-01-2025-12.22,60000,0,0
00009_01-01-2025-12.22,71801,172,172
00013_01-01-2025-12.27,60000,0,0
00013_01-01-2025-12.27,71801,197,197
00004_01-01-2025-12.57,60000,0,0
00004_01-01-2025-12.57,71801,157,157
00014_01-01-2025-13.18,60000,0,0
00014_01-01-2025-13.18,71801,184,184
00009_01-01-2025-14.02,60000,0,0
00009_01-01-2025-14.02,71801,172,172
00015_01-01-2025-14.12,60000,0,0
00015_01-01-2025-14.12,71801,157,157
00016_01-01-2025-14.27,60000,0,0
00016_01-01-2025-14.27,71801,177,177
00017_01-01-2025-14.42,60000,0,0
00017_01-01-2025-14.42,71801,179,179
00004_01-01-2025-14.57,60000,0,0
00004_01-01-2025-14.57,71801,157,157
00018_01-01-2025-15.27,60000,0,0
00018_01-01-2025-15.27,71801,199,199
00004_01-01-2025-15.57,60000,0,0
00004_01-01-2025-15.57,71801,157,157
00007_01-01-2025-16.27,60000,0,0
00007_01-01-2025-16.27,71801,172,172
00002_01-01-2025-16.37,60000,0,0
00002_01-01-2025-16.37,71801,157,157
00004_01-01-2025-16.57,60000,0,0
00004_01-01-2025-16.57,71801,157,157
00015_01-01-2025-17.17,60000,0,0
00015_01-01-2025-17.17,71801,157,157
